"geoFormatAddress","instrument","basis","date","terminalName","county","cropType","lat","long"
"112 W Des Moines St, 63472","CORNURSWYL-C1",-0.11,"2/27/2020","Ursa Farmers Coop","Wayland","Corn",40.3948524,-91.5947695
"115 Bluff St, 65069","CORNADMRNL-C1",0,"2/27/2020","ADM","Rhineland","Corn",38.7195747,-91.5133534
"11523 Highway J, 63456","CORNHCLMOE-C1",-0.33,"2/27/2020","Hassard Elevator","Monroe City","Corn",39.6594664,-91.6617744
"1201 N 25th St, 64424","CORNMFABTH-C1",-0.3,"2/27/2020","MFA","Bethany","Corn",40.2792416,-94.0273924
"1209 Industrial Blvd, 64701","CORNSLCHRL-C1",0.16,"2/27/2020","Scoular Grain","Harrisonville","Corn",38.6614207,-94.3570678
"123 W. Main, 64742","CORNMWIDRZ-C1",0.04,"2/27/2020","Midwest Fertilizer Inc","Drexel","Corn",38.4797868,-94.6113458
"12302 Highway 135, 65276","CORNPGVPLG-C1",0,"2/27/2020","Pilot Grove Coop","Pilot Grove","Corn",38.8680554,-92.9175121
"125 Lexington Ave, 65351","CORNMFASTS-C1",0,"2/27/2020","MFA","Sweet Springs","Corn",38.9657002,-93.4157127
"12747 Market Road, 65084","CORNNACVRS-C1",0.05,"2/27/2020","NutraAg LLC","Versailles","Corn",38.4937683,-92.7214512
"1275 SE Y Hwy, 65336","CORNRAFKBN-C1",0.04,"2/27/2020","Rose Acre Farms","Knob Noster","Corn",38.7112044,-93.507723
"12845 County Rd 717, 63841","CORNTYSDEX-C1",0.2,"10/4/2019","Tyson Foods","Dexter","Corn",36.8008268,-89.9329713
"1301 Main St, 64632","CORNSCCCIV-C1",-0.3,"2/27/2020","South Central Coop","Cainsville","Corn",40.4387493,-93.7654678
"14680 US Hwy 136, 64655","CORNPSFLUC-C1",-0.06,"2/27/2020","MB Grain","Lucerne","Corn",40.4675668,-93.2781305
"15 Quail Run, 64720","CORNSCGADR-C1",0.16,"2/27/2020","Scoular Grain","Adrian","Corn",38.4150987,-94.3503979
"15053 Highway 111, 64437","CORNGTECRA-C1",-0.1,"2/27/2020","Golden Triangle Energy","Craig","Corn",40.1826342,-95.3712397
"15311 N. Saline 65 Hwy., 65339","CORNMMEMBN-C1",0.12,"2/3/2020","Mid-Missouri Energy","Malta Bend","Corn",39.1939849,-93.3740552
"154 S. Main, 64765","CORNMWIMEZ-C1",-0.1,"2/27/2020","Midwest Fertilizer Inc","Metz","Corn",37.9973283,-94.4432482
"17149 Hwy 24, 65236","CORNRCGBRU-C1",0,"2/27/2020","Ray Carroll Grain","Brunswick","Corn",39.430464,-93.147535
"172 S. Brown St, 64750","CORNMWIHRW-C1",-0.05,"2/27/2020","Midwest Fertilizer Inc","Harwood","Corn",37.9564468,-94.1542638
"179 Rushing Rd, 63780","CORNMGBSCT-C1",0.05,"2/27/2020","Midwest Grain and Barge","Scott City","Corn",37.2452806,-89.4981075
"1805 A N Missouri St, 63552","CORNMFAMCN-C1",-0.24,"2/27/2020","MFA","Macon","Corn",39.7551817,-92.4694743
"18115 State Hwy B, 64670","CORNPSFCFE-C1",-0.15,"2/27/2020","MB Grain","Pattonsburg","Corn",40.1047739,-94.0060978
"1901 Hwy Kk, 64759","CORNMFALMR-C1",0,"2/27/2020","MFA","Lamar","Corn",37.485682,-94.271792
"19571 Whitfield Rd, 65301","CORNTYSSDA-C1",0.04,"10/4/2019","Tyson Foods","Sedalia","Corn",38.7500737,-93.322436
"19765 West 320th St, 64424","CORNGGFBTH2-C1",-0.25,"2/26/2020","Gage Fertilizer and Grain","Bethany","Corn",40.2511753,-94.0574173
"199 W Front St, 63868","CORNBCTMRH-C1",0.15,"2/27/2020","Buchheit Agri","Morehouse","Corn",36.846229,-89.692126
"200 E Lamb St, 63436","CORNADMCTR-C1",-0.1,"2/27/2020","ADM","Center","Corn",39.5080791,-91.5277942
"200 N Railroad St, 64461","CORNGPLHPN-C1",-0.22,"2/27/2020","Green Plains","Hopkins","Corn",40.5515192,-94.8184999
"200 W Chestnut, 63468","CORNMFASHE-C1",-0.25,"2/27/2020","MFA","Shelbina","Corn",39.693653,-92.04222
"201 F Street, 64748","CORNLFEGOL-C1",0.04,"2/26/2020","Golden City Grain & Cotton","Golden City","Corn",37.398749,-94.0892068
"201 S Vine St, 64040","CORNHMNHDN-C1",0.05,"2/27/2020","Heiman Grain","Holden","Corn",38.7170208,-93.9868461
"201 S Walnut, 64741","CORNMWIDRF-C1",-0.09,"2/27/2020","Midwest Fertilizer Inc","Deerfield","Corn",37.8376284,-94.5046188
"202 E Main, 64035","CORNRCGHAR-C1",0,"2/27/2020","Ray Carroll Grain","Hardin","Corn",39.2694742,-93.8322431
"20314 South Highway 77, 63845","CORNCGBEPR-C1",0.19,"2/27/2020","Consolidated Grain and Barge","East Prairie","Corn",36.6379388,-89.232759
"204 1st St, 64670","CORNMFAPBG-C1",-0.3,"2/27/2020","MFA","Pattonsburg","Corn",40.0481864,-94.1373395
"2073 Co Rd 337, 63830","CORNCGBCRT-C1",0.2,"2/27/2020","Consolidated Grain and Barge","Caruthersville","Corn",36.2293554,-89.7019089
"208 E N Front St, 64077","CORNOFSORK-C1",-0.01,"2/27/2020","Orrick Farm Service","Orrick","Corn",39.2132036,-94.1201543
"209 E Barnum Ave, 64733","CORNWCACIL-C1",-0.05,"2/27/2020","West Central Ag","Chilhowee","Corn",38.583926,-93.852475
"210 N 7th St, 63447","CORNADMLAB-C1",-0.17,"2/27/2020","ADM","La Belle","Corn",40.1179603,-91.9174619
"211 N Lyon, 65340","CORNCAEMAR-C1",0,"2/27/2020","Central Missouri AgriService","Marshall","Corn",39.1228472,-93.2021195
"2133 E State Hwy, 63780","CORNCGBSCT-C1",0.09,"2/27/2020","Consolidated Grain and Barge","Scott City","Corn",37.2202367,-89.5071986
"215 Manning Ave, 64635","CORNCHUCUA-C1",-0.4,"2/27/2020","Chula Farmers","Chula","Corn",39.9227118,-93.4760296
"215 Thomas Ln, 64096","CORNCAEWAV-C1",0,"2/27/2020","Central Missouri AgriService","Waverly","Corn",39.2128158,-93.5206001
"215 W Park St, 65321","CORNCAEBCB-C1",0,"2/27/2020","Central Missouri AgriService","Blackburn","Corn",39.1044835,-93.4855521
"221 N Depot, 64468","CORNMFAMYL-C1",-0.23,"2/27/2020","Consumers Oil","Maryville","Corn",40.3468821,-94.8560794
"226 N Walker St, 63361","CORNMFAMTM-C1",-0.02,"2/27/2020","MFA","Montgomery City","Corn",38.9770337,-91.5078152
"22701 N March Rd, 65240","CORNCRGCTL-C1",0.02,"2/27/2020","JBS United","Centralia","Corn",39.2208654,-92.1635449
"24395 State Hwy 6, 64640","CORNMFAATI-C1",-0.3,"2/27/2020","MFA","Gallatin","Corn",39.929227,-93.940377
"24th and Monroe Sts, 64067","CORNMFALEX-C1",-0.01,"2/27/2020","MFA","Lexington","Corn",39.181069,-93.866677
"26194 MO-20, 64021","CORNRCGDER-C1",0,"2/27/2020","Ray Carroll Grain","Corder","Corn",39.105706,-93.6187451
"26274 Hwy 24, 64633","CORNRCGCAR-C1",0.15,"2/27/2020","Ray Carroll Grain","Carrollton","Corn",39.3664109,-93.4527307
"26949 Holt 290 Rd, 64451","CORNCRGFRC-C1",-0.2,"2/27/2020","Cargill","Forest City","Corn",39.9854403,-95.1991577
"2811 S 11, 64503","CORNLFDSTJ-C1",0.1,"2/27/2020","Lifeline Foods","St Joseph","Corn",39.7381414,-94.8457849
"2816 E Liberty, 65265","CORNMFAMEX-C1",-0.12,"2/27/2020","MFA","Mexico","Corn",39.161037,-91.843575
"29261 North Highway 240, 65349","CORNRCGSLT-C1",0,"2/27/2020","Ray Carroll Grain","Slater","Corn",39.2130388,-93.0681108
"300 Levee Rd, 63869","CORNCRGNMD-C1",0.23,"2/27/2020","Cargill","New Madrid","Corn",36.5816853,-89.5499012
"302 Park St, 64491","CORNAPCTAR-C1",-0.22,"2/27/2020","Ag Partners Coop","Tarkio","Corn",40.4447045,-95.3783492
"3031 Pleasant Pln, 64683","CORNMFATNT-C1",-0.4,"2/27/2020","MFA","Trenton","Corn",40.0934432,-93.6147175
"304 W Front St, 65281","CORNMFASBU-C1",0,"2/27/2020","MFA","Salisbury","Corn",39.4249967,-92.8049769
"305 Industrial Blvd,, 65349","CORNCAESLT-C1",0,"2/27/2020","Central Missouri AgriService","Slater","Corn",39.2166704,-93.0610492
"30537 CR 308, 64633","CORNRCGCAR2-C1",-0.1,"2/27/2020","Ray Carroll Grain","Carrollton","Corn",39.313495,-93.376687
"307 Elm Street, 63435","CORNURSCNT-C1",-0.05,"2/27/2020","Ursa Farmers Coop","Canton","Corn",40.1757481,-91.5596117
"308 E Chestnut St, 63468","CORNADMSHE-C1",-0.23,"2/27/2020","ADM","Shelbina","Corn",39.6923203,-92.0363828
"308 N Bluff, 65344","CORNCAEMIM-C1",0,"2/27/2020","Central Missouri AgriService","Miami","Corn",39.2964931,-93.238251
"308 W Morrison Ave, 64755","CORNJSPJSP-C1",0.26,"2/27/2020","Jasper Grain","Jasper","Corn",37.3337971,-94.3050339
"31019 E 260th Ave, 64424","CORNGGFBTH-C1",-0.35,"2/26/2020","Gage Fertilizer and Grain","Bethany","Corn",40.2634894,-93.931917
"313 N. Davis St., 64644","CORNMFAHAM-C1",0,"2/27/2020","MFA","Hamilton","Corn",39.7449549,-93.9982693
"316 W  Potter Ave, 63501","CORNMFAKKS-C1",-0.32,"2/27/2020","MFA","Kirksville","Corn",40.2122698,-92.5869611
"317 Centre St, 64681","CORNRCGSMN-C1",-0.05,"2/27/2020","Ray Carroll Grain","Sumner","Corn",39.6564126,-93.2467931
"320 Short St, 63361","CORNADMMTM-C1",-0.02,"2/27/2020","ADM","Montgomery City","Corn",38.9633026,-91.495819
"32503 MO-2, 64701","CORNRHFHRL-C1",0.16,"2/27/2020","Roth Hereford Farms","Harrisonville","Corn",38.6432465,-94.220775
"33 PCR 540, 63775","CORNBCTPRY-C1",0.1,"2/27/2020","Buchheit Agri","Perryville","Corn",37.6046322,-89.8408112
"3880 Audrain Road 541, 63345","CORNCECFBR-C1",-0.02,"2/27/2020","CE Grain Co","Farber","Corn",39.2812527,-91.5490671
"401 S Main St, 63448","CORNBNGLAG-C1",-0.09,"1/9/2020","Bunge","La Grange","Corn",40.0390822,-91.4985394
"402 Locust, 64465","CORNLATLRP-C1",0.06,"2/27/2020","Lathrop Feed and Grain","Lathrop","Corn",39.5497612,-94.331349
"408 S Birch St, 64402","CORNMFAALB-C1",-0.3,"2/27/2020","MFA","Albany","Corn",40.2451821,-94.3408995
"410 E 2nd S, 64652","CORNMFALRD-C1",-0.4,"2/27/2020","MFA","Laredo","Corn",40.026754,-93.444296
"411 W State St, 63382","CORNMFAVND-C1",-0.12,"2/27/2020","MFA","Vandalia","Corn",39.3077591,-91.4901982
"424 Hart St, 63954","CORNBALNEL-C1",-0.21,"2/27/2020","Baltz Feed Co","Neelyville","Corn",36.5613766,-90.508414
"438 County Rd 11002, 64720","CORNWCAADR-C1",0.15,"2/27/2020","West Central Ag","Adrian","Corn",38.3802744,-94.3529591
"506 E 1st St, 63352","CORNMFALAD-C1",-0.12,"2/27/2020","MFA","Laddonia","Corn",39.2426872,-91.6440517
"50726 State Hwy 15, 63531","CORNNMFBIN-C1",-0.15,"2/27/2020","Nemo Feed","Baring","Corn",40.2210147,-92.210618
"520 S 23rd St, 63565","CORNMFAUNV-C1",-0.16,"2/27/2020","MFA","Unionville","Corn",40.4721407,-93.0116152
"520 Washington St, 63349","CORNRAFHKP-C1",-0.16,"2/27/2020","Rose Acre Farms","Hawk Point","Corn",38.9690052,-91.1348731
"601 S Main St, 64020","CORNMFACNC-C1",0,"2/27/2020","MFA","Concordia","Corn",38.982932,-93.567901
"605 E Water St, 65233","CORNMFABOO-C1",0,"2/27/2020","MFA","Boonville","Corn",38.9793956,-92.7418209
"613 County Hwy 434, 63873","CORNBNGPOR-C1",0.24,"2/27/2020","Bunge","Portageville","Corn",36.4256585,-89.6990265
"65031 State Hwy 15, 63460","CORNADMNOV-C1",-0.17,"2/27/2020","ADM","Novelty","Corn",40.010436,-92.1645818
"6720 N Hwy K, 63834","CORNCGBCHO-C1",0.18,"2/27/2020","Consolidated Grain and Barge","Charleston","Corn",36.920954,-89.350556
"734 New Madrid County Rd, 63866","CORNADMMRT-C1",0.24,"2/27/2020","ADM","Marston","Corn",36.5250577,-89.6181018
"758 State Highway N, 63834","CORNCRGCHO-C1",0.2,"2/27/2020","Cargill","Charleston","Corn",37.0203726,-89.3643004
"809 North Pine, 63352","CORNPTBLAD-C1",-0.02,"2/27/2020","Poet Biorefining","Laddonia","Corn",39.2492548,-91.6401206
"8270 W State Hwy 266, 65802","CORNMSFSPF-C1",0.55,"2/27/2020","Main Street Feeds","Springfield","Corn",37.213292,-93.458551
"914 E 3rd St, 63556","CORNMFAMIA-C1",-0.4,"2/27/2020","MFA","Milan","Corn",40.2016702,-93.1146609
"915 Shanklin St, 64683","CORNHADTNT-C1",-0.35,"2/27/2020","Gage Fertilizer and Grain","Trenton","Corn",40.1609227,-93.6105783
"9238 Highway 87, 65068","CORNPHCPHM-C1",0,"2/27/2020","Prairie Home Coop","Prairie Home","Corn",38.8084264,-92.5854071
