"","Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location"
"12","CORNWCAADR-Z","CORN MOADR DEC20",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"13","CORNWCAADR-F","CORN MOADR JAN21",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"14","CORNMFAALM-C1","CORN MOALM SPOT ","0","2020-02-27","MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"15","CORNMFAALM-G","CORN MOALM FEB20","0","2020-02-27","MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"16","CORNMFAALM-H","CORN MOALM MAR20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"17","CORNMFAALM-J","CORN MOALM APR20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"18","CORNMFAALM-K","CORN MOALM MAY20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"19","CORNMFAALM-M","CORN MOALM JUN20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"20","CORNMFAALM-N","CORN MOALM JUL20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"21","CORNMFAALM-Q","CORN MOALM AUG20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"22","CORNMFAALM-U","CORN MOALM SEP20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"23","CORNMFAALM-V","CORN MOALM OCT20","-0.35","2020-02-27","MFA             ","MFA                                                                             ","Alma, MO - 64001                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"24","CORNMFAALM-X","CORN MOALM NOV20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"25","CORNMFAALM-Z","CORN MOALM DEC20",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"26","CORNMFAALM-F","CORN MOALM JAN21",NA,NA,"MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"27","CORNADMBIN-C1","CORN MOBIN SPOT ",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"28","CORNADMBIN-G","CORN MOBIN FEB20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"29","CORNADMBIN-H","CORN MOBIN MAR20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"30","CORNADMBIN-J","CORN MOBIN APR20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"31","CORNADMBIN-K","CORN MOBIN MAY20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"32","CORNADMBIN-M","CORN MOBIN JUN20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"33","CORNADMBIN-N","CORN MOBIN JUL20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"34","CORNADMBIN-Q","CORN MOBIN AUG20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"35","CORNADMBIN-U","CORN MOBIN SEP20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"36","CORNADMBIN-V","CORN MOBIN OCT20",NA,NA,"ADM             ","ADM                                                                             ","Baring, MO - 63531                                                              ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"37","CORNADMBIN-X","CORN MOBIN NOV20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"38","CORNADMBIN-Z","CORN MOBIN DEC20",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"39","CORNADMBIN-F","CORN MOBIN JAN21",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"40","CORNGFGBTH-C1","CORN MOBTH SPOT ",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"41","CORNGFGBTH-G","CORN MOBTH FEB20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"42","CORNGFGBTH-H","CORN MOBTH MAR20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"43","CORNGFGBTH-J","CORN MOBTH APR20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","""Bethany, MO - 64424""                                                           ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"44","CORNGFGBTH-K","CORN MOBTH MAY20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","""Bethany, MO - 64424""                                                           ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"45","CORNGFGBTH-M","CORN MOBTH JUN20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"46","CORNGFGBTH-N","CORN MOBTH JUL20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"47","CORNGFGBTH-Q","CORN MOBTH AUG20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"48","CORNGFGBTH-U","CORN MOBTH SEP20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","""Bethany, MO - 64424""                                                           ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"49","CORNGFGBTH-V","CORN MOBTH OCT20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"50","CORNGFGBTH-X","CORN MOBTH NOV20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"51","CORNGFGBTH-Z","CORN MOBTH DEC20",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"52","CORNGFGBTH-F","CORN MOBTH JAN21",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"53","CORNCAEBCB-C1","CORN MOBCB SPOT ","0","2020-02-27","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"54","CORNCAEBCB-G","CORN MOBCB FEB20","0","2020-02-27","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"55","CORNCAEBCB-H","CORN MOBCB MAR20","0","2019-11-21","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"56","CORNCAEBCB-J","CORN MOBCB APR20",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"57","CORNCAEBCB-K","CORN MOBCB MAY20",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"58","CORNCAEBCB-M","CORN MOBCB JUN20",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"59","CORNCAEBCB-N","CORN MOBCB JUL20",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"60","CORNCAEBCB-Q","CORN MOBCB AUG20",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"61","CORNCAEBCB-U","CORN MOBCB SEP20",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"62","CORNCAEBCB-V","CORN MOBCB OCT20","-0.35","2020-02-27","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"63","CORNCAEBCB-X","CORN MOBCB NOV20",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"64","CORNCAEBCB-Z","CORN MOBCB DEC20",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"65","CORNCAEBCB-F","CORN MOBCB JAN21",NA,NA,"C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"66","CORNMFABOO-C1","CORN MOBOO SPOT ","0","2020-02-27","MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"67","CORNMFABOO-G","CORN MOBOO FEB20","0","2020-02-27","MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"68","CORNMFABOO-H","CORN MOBOO MAR20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"69","CORNMFABOO-J","CORN MOBOO APR20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"70","CORNMFABOO-K","CORN MOBOO MAY20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"71","CORNMFABOO-M","CORN MOBOO JUN20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"72","CORNMFABOO-N","CORN MOBOO JUL20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"73","CORNMFABOO-Q","CORN MOBOO AUG20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"74","CORNMFABOO-U","CORN MOBOO SEP20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"75","CORNMFABOO-V","CORN MOBOO OCT20","-0.35","2020-02-27","MFA             ","MFA                                                                             ","Boonville, MO - 65233                                                           ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"76","CORNMFABOO-X","CORN MOBOO NOV20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"77","CORNMFABOO-Z","CORN MOBOO DEC20",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"78","CORNMFABOO-F","CORN MOBOO JAN21",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"79","CORNCNMBYM-C1","CORN MOBYM SPOT ","-0.11","2020-02-27","Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"80","CORNCNMBYM-G","CORN MOBYM FEB20","-0.11","2020-02-27","Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"81","CORNCNMBYM-H","CORN MOBYM MAR20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"82","CORNCNMBYM-J","CORN MOBYM APR20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"83","CORNCNMBYM-K","CORN MOBYM MAY20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"84","CORNCNMBYM-M","CORN MOBYM JUN20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"85","CORNCNMBYM-N","CORN MOBYM JUL20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"86","CORNCNMBYM-Q","CORN MOBYM AUG20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"87","CORNCNMBYM-U","CORN MOBYM SEP20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"88","CORNCNMBYM-V","CORN MOBYM OCT20",NA,NA,"Consumers       ","Consumers                                                                       ","Braymer, MO - 64624                                                             ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"89","CORNCNMBYM-X","CORN MOBYM NOV20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"90","CORNCNMBYM-Z","CORN MOBYM DEC20",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"91","CORNCNMBYM-F","CORN MOBYM JAN21",NA,NA,"Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"92","CORNMFABWI-C1","CORN MOBWI SPOT ","-0.4","2020-02-27","MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"93","CORNMFABWI-G","CORN MOBWI FEB20","-0.4","2020-02-27","MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"94","CORNMFABWI-H","CORN MOBWI MAR20","-0.45","2020-02-27","MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"95","CORNMFABWI-J","CORN MOBWI APR20","-0.45","2020-02-27","MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"96","CORNMFABWI-K","CORN MOBWI MAY20",NA,NA,"MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"97","CORNMFABWI-M","CORN MOBWI JUN20",NA,NA,"MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"98","CORNMFABWI-N","CORN MOBWI JUL20",NA,NA,"MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"99","CORNMFABWI-Q","CORN MOBWI AUG20",NA,NA,"MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630. Phone - 660-9464-114""                                    ","CORN MO Browning"
"100","CORNMFABWI-U","CORN MOBWI SEP20",NA,NA,"MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630. Phone - 660-9464-114""                                    ","CORN MO Browning"
"101","CORNMFABWI-V","CORN MOBWI OCT20","-0.55","2020-02-27","MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630. Phone - 660-9464-114""                                    ","CORN MO Browning"
"102","CORNMFABWI-X","CORN MOBWI NOV20",NA,NA,"MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"103","CORNMFABWI-Z","CORN MOBWI DEC20",NA,NA,"MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"104","CORNMFABWI-F","CORN MOBWI JAN21",NA,NA,"MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"105","CORNRCGBRU-C1","CORN MOBRU SPOT ","0","2020-02-27","RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
"106","CORNRCGBRU-G","CORN MOBRU FEB20","0","2020-02-27","RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
"107","CORNRCGBRU-H","CORN MOBRU MAR20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
"108","CORNRCGBRU-J","CORN MOBRU APR20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
"109","CORNRCGBRU-K","CORN MOBRU MAY20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
"110","CORNRCGBRU-M","CORN MOBRU JUN20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
"111","CORNRCGBRU-N","CORN MOBRU JUL20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
"112","CORNRCGBRU-Q","CORN MOBRU AUG20",NA,NA,"RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
