Instrument,CF_NAME,CF_BID,CF_DATE,GEN_TEXT16,ROW80_1,ROW80_2,GN_TXT16_2,GN_TXT16_4,ROW80_3,Location
SOYBCGBCRT2-C1,SOYB MOCR2 SPOT ,NA,NA,Cnslidated Grain,Consolidated Grain and Barge                                                    ,2140 County Highway 553                                                         ,Caruthersville  ,Soybeans        ,"""Caruthersville, MO - 63830.  Phone - 573-3331-881""                             ",SOYB MO Caruthe2
SOYBBNGCRT-C1,SOYB MOCRT SPOT ,0.28,2/27/2020,Bunge           ,Bunge                                                                           ,Carlton and Riverfront                                                          ,Caruthersville  ,Soybeans        ,"""Caruthersville, MO - 63830.  Phone - 573-3334-121""                             ",SOYB MO Caruther
SOYBCGBCRT-C1,SOYB MOCRT SPOT ,0.25,2/27/2020,Cnslidated Grain,Consolidated Grain and Barge                                                    ,Pemiscott Co Port Cty Rd 337                                                    ,Caruthersville  ,Soybeans        ,"""Caruthersville, MO - 63830.  Phone - 573-3590-036""                             ",SOYB MO Caruther
SOYBADMCTR-C1,SOYB MOCTR SPOT ,-0.08,2/27/2020,ADM             ,ADM                                                                             ,200 E Lamb St                                                                   ,Center          ,Soybeans        ,"""Center, MO - 63436.  Phone - 573-2673-692""                                     ",SOYB MO Center  
SOYBWCACNV-C1,SOYB MOCNV SPOT ,-0.3,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S Graham St                                                                     ,Centerview      ,Soybeans        ,"""Centerview, MO - 64019.  Phone - 800-8216-345""                                 ",SOYB MO Centervi
SOYBMFACTL-C1,SOYB MOCTL SPOT ,-0.12,2/27/2020,MFA             ,MFA                                                                             ,108 Market St                                                                   ,Centralia       ,Soybeans        ,"""Centralia, MO - 65240.  Phone - 573-7635-317""                                  ",SOYB MO Centrali
SOYBCRGCHO-C1,SOYB MOCHO SPOT ,0.27,2/27/2020,Cargill         ,Cargill                                                                         ,758 State Highway N                                                             ,Charleston      ,Soybeans        ,"""Charleston, MO - 63834.  Phone - 800-7422-789""                                 ",SOYB MO Charlstn
SOYBCGBCHO-C1,SOYB MOCHO SPOT ,0.22,2/27/2020,Cnslidated Grain,Consolidated Grain and Barge                                                    ,6720 E Highway K                                                                ,Charleston      ,Soybeans        ,"""Charleston, MO - 63834.  Phone - 573-6753-433""                                 ",SOYB MO Charlstn
SOYBWCACIL-C1,SOYB MOCIL SPOT ,-0.3,2/27/2020,West Central Ag ,West Central Ag                                                                 ,209 E Barnum Ave                                                                ,Chilhowee       ,Soybeans        ,"""Chilhowee, MO - 64733.  Phone - 816-2974-518""                                  ",SOYB MO Chilhowe
SOYBCHUCUA-C1,SOYB MOCUA SPOT ,-0.45,2/27/2020,Chula Farmers   ,Chula Farmers                                                                   ,215 Manning Ave                                                                 ,Chula           ,Soybeans        ,"""Chula, MO - 64635.  Phone - 660-6393-125""                                      ",SOYB MO Chula   
SOYBMFACNC-C1,SOYB MOCNC SPOT ,-0.25,2/27/2020,MFA             ,MFA                                                                             ,601 Main St                                                                     ,Concordia       ,Soybeans        ,"""Concordia, MO - 64020.  Phone - 660-4630-888""                                  ",SOYB MO Concordi
SOYBCGICRA-C1,SOYB MOCRA SPOT ,-0.5,2/27/2020,Craig Grain     ,Craig Grain                                                                     ,102 S Main St                                                                   ,Craig           ,Soybeans        ,"""Craig, MO - 64437.  Phone - 660-6835-631""                                      ",SOYB MO Craig   
SOYBADMDRF-C1,SOYB MODRF SPOT ,0.1,2/27/2020,ADM             ,ADM                                                                             ,17700 South T Hwy                                                               ,Deerfield       ,Soybeans        ,"""Deerfield, MO - 64741.  Phone - 417-9273-400""                                  ",SOYB MO Deerfiel
SOYBADMDUD-C1,SOYB MODUD SPOT ,NA,NA,ADM             ,ADM                                                                             ,7466 US Highway 60                                                              ,Dudley          ,Soybeans        ,"""Dudley, MO - 63936.  Phone - 573-9673-662""                                     ",SOYB MO Dudley  
SOYBCGBEPR-C1,SOYB MOEPR SPOT ,0.19,2/27/2020,Cnslidated Grain,Consolidated Grain and Barge                                                    ,20314 South Highway 77                                                          ,East Prairie    ,Soybeans        ,"""East Prairie, MO - 63845.  Phone - 573-6493-014""                               ",SOYB MO EastPrai
SOYBMFAFYT-C1,SOYB MOFYT SPOT ,NA,NA,MFA             ,MFA                                                                             ,111 Armstrong St                                                                ,Fayette         ,Soybeans        ,"""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ",SOYB MO Fayette 
SOYBCRGFRC-C1,SOYB MOFRC SPOT ,-0.4,2/27/2020,Cargill         ,Cargill                                                                         ,26949 Holt 290 Rd                                                               ,Forest City     ,Soybeans        ,"""Forest City, MO - 64451.  Phone - 660-4463-311""                                ",SOYB MO ForestCt
SOYBHADGMC-C1,SOYB MOGMC SPOT ,NA,NA,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,151 Broadway Ave                                                                ,Gilman City     ,Soybeans        ,"""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ",SOYB MO GilmanCi
SOYBMFAGLG-C1,SOYB MOGLG SPOT ,NA,NA,MFA             ,MFA                                                                             ,102 2nd St                                                                      ,Glasgow         ,Soybeans        ,"""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ",SOYB MO Glasgow 
SOYBLFEGOL-C1,SOYB MOGOL SPOT ,-0.45,2/26/2020,GoldenCity Grain,Golden City Grain & Cotton                                                      ,201 F Street                                                                    ,Golden City     ,Soybeans        ,"""Golden City, MO - 64748.  Phone - 417-5374-214""                                ",SOYB MO GoldenCi
SOYBRCGHAR-C1,SOYB MOHAR SPOT ,-0.25,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,202 E Main                                                                      ,Hardin          ,Soybeans        ,"""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ",SOYB MO Hardin  
SOYBSLCHRL-C1,SOYB MOHRL SPOT ,-0.25,2/27/2020,Scoular Grain   ,Scoular Grain                                                                   ,1209 Industrial Blvd                                                            ,Harrisonville   ,Soybeans        ,"""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ",SOYB MO Harrison
SOYBMFAHGN-C1,SOYB MOHGN SPOT ,-0.25,2/27/2020,MFA             ,MFA                                                                             ,105 W 22nd St                                                                   ,Higginsville    ,Soybeans        ,"""Higginsville, MO - 64037.  Phone - 660-5843-676""                               ",SOYB MO Higginsv
SOYBHMNHDN-C1,SOYB MOHDN SPOT ,-0.67,2/27/2020,Heiman Grain    ,Heiman Grain                                                                    ,201 S Vine St                                                                   ,Holden          ,Soybeans        ,"""Holden, MO - 64040.  Phone - 816-7324-131""                                     ",SOYB MO Holden  
SOYBJSPJSP-C1,SOYB MOJSP SPOT ,-0.34,2/27/2020,Jasper Grain    ,Jasper Grain                                                                    ,308 W Morrison Ave                                                              ,Jasper          ,Soybeans        ,"""Jasper, MO - 64755.  Phone - 417-3942-156""                                     ",SOYB MO Jasper  
SOYBCRGKNC-C1,SOYB MOKNC SPOT ,NA,NA,Cargill         ,Cargill                                                                         ,340 Southwest Blvd                                                              ,Kansas City     ,Soybeans        ,"""Kansas City, KS - 66103.  Phone - 800-3333-884""                                ",SOYB MO Kansas  
SOYBCRGKNC2-C1,SOYB MOKN2 SPOT ,NA,NA,Cargill         ,Cargill                                                                         ,4801 NE Birmingham Rd                                                           ,Kansas City     ,Soybeans        ,"""Kansas City, MO - 64117.  Phone - 816-4522-161""                                ",SOYB MO Kansas2 
SOYBCRGKNC3-C1,SOYB MOKN3 SPOT ,0.1,2/27/2020,Cargill         ,Cargill                                                                         ,2306 Rochester St                                                               ,Kansas City     ,Soybeans        ,"""Kansas City, MO - 64120.  Phone - 816-2450-500""                                ",SOYB MO Kansas3 
SOYBMFAKKS-C1,SOYB MOKKS SPOT ,-0.29,2/27/2020,MFA             ,MFA                                                                             ,316 W  Potter Ave                                                               ,Kirksville      ,Soybeans        ,"""Kirksville, MO - 63501.  Phone - 660-6654-695""                                 ",SOYB MO Kirksvil
SOYBADMLAB-C1,SOYB MOLAB SPOT ,-0.06,2/27/2020,ADM             ,ADM                                                                             ,210 N 7th St                                                                    ,La Belle        ,Soybeans        ,"""La Belle, MO - 63447.  Phone - 800-5193-626""                                   ",SOYB MO La Belle
SOYBBNGLAG-C1,SOYB MOLAG SPOT ,-0.18,1/9/2020,Bunge           ,Bunge                                                                           ,401 S Main St                                                                   ,La Grange       ,Soybeans        ,"""La Grange, MO - 63448.  Phone - 573-6552-281""                                  ",SOYB MO La Grang
SOYBADMLAP-C1,SOYB MOLAP SPOT ,NA,NA,ADM             ,ADM                                                                             ,East Moore Street                                                               ,La Plata        ,Soybeans        ,"""La Plata, MO - 63549.  Phone - 800-4734-517""                                   ",SOYB MO La Plata
SOYBADMLAL-C1,SOYB MOLAL SPOT ,NA,NA,StheasternGrain ,Southeastern Grain                                                              ,605 Front St                                                                    ,Laclede         ,Soybeans        ,"""Laclede, MO - 64651.  Phone - 660-9632-227""                                    ",SOYB MO Laclede 
SOYBADMLAD-C1,SOYB MOLAD SPOT ,NA,NA,ADM             ,ADM                                                                             ,601 1st St                                                                      ,Laddonia        ,Soybeans        ,"""Laddonia, MO - 63352.  Phone - 573-3735-311""                                   ",SOYB MO Laddonia
SOYBMFALAD-C1,SOYB MOLAD SPOT ,-0.02,2/27/2020,MFA             ,MFA                                                                             ,506 E 1st St                                                                    ,Laddonia        ,Soybeans        ,"""Laddonia, MO - 63352.  Phone - 573-3735-334""                                   ",SOYB MO Laddonia
SOYBMFALMR-C1,SOYB MOLMR SPOT ,-0.4,2/27/2020,MFA             ,MFA                                                                             ,1801 KK Hwy                                                                     ,Lamar           ,Soybeans        ,"""Lamar, MO - 64759.  Phone - 417-6825-593""                                      ",SOYB MO Lamar   
SOYBMFALRD-C1,SOYB MOLRD SPOT ,-0.5,2/27/2020,MFA             ,MFA                                                                             ,410 E 2nd S                                                                     ,Laredo          ,Soybeans        ,"""Laredo, MO - 64652.  Phone - 660-3592-297""                                     ",SOYB MO Laredo  
SOYBMFALEX-C1,SOYB MOLEX SPOT ,-0.25,2/27/2020,MFA             ,MFA                                                                             ,24th and Monroe Sts                                                             ,Lexington       ,Soybeans        ,"""Lexington, MO - 64067.  Phone - 660-2592-261""                                  ",SOYB MO Lexingto
SOYBLFELKW-C1,SOYB MOLKW SPOT ,-0.5,2/27/2020,Lockwood Farmers,Lockwood Farmers Exchange                                                       ,107 W 6th St                                                                    ,Lockwood        ,Soybeans        ,"""Lockwood, MO - 65682.  Phone - 417-2324-525""                                   ",SOYB MO Lockwood
SOYBBNGLOU-C1,SOYB MOLOU SPOT ,-0.05,2/27/2020,Bunge           ,Bunge                                                                           ,Highway 79 S                                                                    ,Louisiana       ,Soybeans        ,"""Louisiana, MO - 63353.  Phone - 800-3920-205""                                  ",SOYB MO Louisian
SOYBADMMCN-C1,SOYB MOMCN SPOT ,-0.12,2/27/2020,ADM             ,ADM                                                                             ,100 Front St                                                                    ,Macon           ,Soybeans        ,"""Macon, IL - 62544.  Phone - 217-7643-345""                                      ",SOYB MO Macon   
SOYBMFAMCN-C1,SOYB MOMCN SPOT ,-0.28,2/27/2020,MFA             ,MFA                                                                             ,1805 A N Missouri St                                                            ,Macon           ,Soybeans        ,"""Macon, MO - 63552.  Phone - 660-3855-753""                                      ",SOYB MO Macon   
SOYBCAEMBN-C1,SOYB MOMBN SPOT ,-0.25,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 66                                                                       ,Malta Bend      ,Soybeans        ,"""Malta Bend, MO - 65339.  Phone - 660-5952-213""                                 ",SOYB MO MaltaBen
SOYBCAEMAR-C1,SOYB MOMAR SPOT ,-0.25,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,211 N Lyon                                                                      ,Marshall        ,Soybeans        ,"""Marshall, MO - 65340.  Phone - 660-8866-976""                                   ",SOYB MO Marshall
SOYBADMMRT-C1,SOYB MOMRT SPOT ,0.27,2/27/2020,ADM             ,ADM                                                                             ,734 New Madrid County Rd                                                        ,Marston         ,Soybeans        ,"""Marston, MO - 63866.  Phone - 573-6430-055""                                    ",SOYB MO Marston 
SOYBMFAMYL-C1,SOYB MOMYL SPOT ,-0.32,2/27/2020,Consumers Oil   ,Consumers Oil                                                                   ,221 N Depot                                                                     ,Maryville       ,Soybeans        ,"""Maryville, MO - 64468.  Phone - 660-5822-106""                                  ",SOYB MO Maryvill
SOYBBAAMEV-C1,SOYB MOMEV SPOT ,-0.46,2/27/2020,Butterfield&Asso,Butterfield and Assoc Grain                                                     ,105 E John                                                                      ,Meadville       ,Soybeans        ,"""Meadville, MO - 64659.  Phone - 660-9384-116""                                  ",SOYB MO Meadvile
SOYBADMMEX-C1,SOYB MOMEX SPOT ,0.06,2/27/2020,ADM             ,ADM                                                                             ,400 E Holt                                                                      ,Mexico          ,Soybeans        ,"""Mexico, MO - 65265.  Phone - 573-5814-195""                                     ",SOYB MO Mexico  
SOYBCAEMIM-C1,SOYB MOMIM SPOT ,-0.25,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,308 N Bluff                                                                     ,Miami           ,Soybeans        ,"""Miami, MO - 65344.  Phone - 660-8523-381""                                      ",SOYB MO Miami   
SOYBMFAMIA-C1,SOYB MOMIA SPOT ,-0.55,2/27/2020,MFA             ,MFA                                                                             ,914 E 3rd St                                                                    ,Milan           ,Soybeans        ,"""Milan, MO - 63556.  Phone - 660-2654-202""                                      ",SOYB MO Milan   
SOYBFREMOE-C1,SOYB MOMOE SPOT ,-0.15,2/27/2020,Farmers Elevator,Farmers Elevator                                                                ,107 S Vine St                                                                   ,Monroe City     ,Soybeans        ,"""Monroe City, MO - 63456.  Phone - 573-7354-543""                                ",SOYB MO MonroeCi
SOYBHCLMOE-C1,SOYB MOMOE SPOT ,-0.16,2/27/2020,Hassard Elevator,Hassard Elevator                                                                ,11523 Highway J                                                                 ,Monroe City     ,Soybeans        ,"""Monroe City, MO - 63456.  Phone - 573-7352-952""                                ",SOYB MO MonroeCi
SOYBMFAMTM-C1,SOYB MOMTM SPOT ,-0.05,2/27/2020,MFA             ,MFA                                                                             ,226 N Walker St                                                                 ,Montgomery City ,Soybeans        ,"""Montgomery City, MO - 63361.  Phone - 573-5642-241""                            ",SOYB MO Montgome
SOYBBCTMRH-C1,SOYB MOMRH SPOT ,-0.02,2/27/2020,Buchheit Agri   ,Buchheit Agri                                                                   ,199 W Front St                                                                  ,Morehouse       ,Soybeans        ,"""Morehouse, MO - 63838.  Phone - 573-6679-921""                                  ",SOYB MO Morehous
SOYBBALNEL-C1,SOYB MONEL SPOT ,-0.25,2/27/2020,Baltz Feed Co   ,Baltz Feed Co                                                                   ,424 Hart St                                                                     ,Neelyville      ,Soybeans        ,"""Neelyville, MO - 63954.  Phone - 573-9893-250""                                 ",SOYB MO Neelyvil
SOYBCRGNMD-C1,SOYB MONMD SPOT ,0.27,2/27/2020,Cargill         ,Cargill                                                                         ,300 Levee Rd                                                                    ,New Madrid      ,Soybeans        ,"""New Madrid, MO - 63869.  Phone - 800-5292-755""                                 ",SOYB MO NewMdrid
SOYBFWLNTN-C1,SOYB MONTN SPOT ,NA,NA,Fowler Elevator ,Fowler Elevator                                                                 ,PO Box 147                                                                      ,Newtown         ,Soybeans        ,"""Newtown, MO - 64667.  Phone - 660-7495-215""                                    ",SOYB MO Newtown 
SOYBRCGNRB-C1,SOYB MONRB SPOT ,-0.25,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,101 S Cherry St                                                                 ,Norborne        ,Soybeans        ,"""Norborne, MO - 64668.  Phone - 660-5933-326""                                   ",SOYB MO Norborne
SOYBADMNOV-C1,SOYB MONOV SPOT ,-0.12,2/27/2020,ADM             ,ADM                                                                             ,-                                                                               ,Novelty         ,Soybeans        ,"""Novelty, MO - 63460.  Phone - 800-6783-323""                                    ",SOYB MO Novelty 
SOYBMFAODS-C1,SOYB MOODS SPOT ,-0.25,2/27/2020,MFA             ,MFA                                                                             ,111 NW RailRoad St                                                              ,Odessa          ,Soybeans        ,"""Odessa, MO - 64076.  Phone - 816-6335-591""                                     ",SOYB MO Odessa  
SOYBOFSORK-C1,SOYB MOORK SPOT ,-0.25,2/27/2020,OrrickFarmServ  ,Orrick Farm Service                                                             ,208 E N Front St                                                                ,Orrick          ,Soybeans        ,"""Orrick, MO - 64077.  Phone - 816-4963-322""                                     ",SOYB MO Orrick  
SOYBPGVPLG-C1,SOYB MOPLG SPOT ,-0.27,2/27/2020,Pilot Grove Coop,Pilot Grove Coop                                                                ,12302 Highway 135                                                               ,Pilot Grove     ,Soybeans        ,"""Pilot Grove, MO - 65276.  Phone - 660-8345-412""                                ",SOYB MO PilotGro
SOYBBNGPOP-C1,SOYB MOPOP SPOT ,NA,NA,Bunge           ,Bunge                                                                           ,3090 Highway B                                                                  ,Poplar Bluff    ,Soybeans        ,"""Poplar Bluff, MO - 63901.  Phone - 573-6862-432""                               ",SOYB MO PoplarBl
SOYBPHCPHM-C1,SOYB MOPHM SPOT ,-0.29,2/27/2020,PrairieHomeCoop ,Prairie Home Coop                                                               ,9238 Highway 87                                                                 ,Prairie Home    ,Soybeans        ,"""Prairie Home, MO - 65068.  Phone - 660-8415-276""                               ",SOYB MO PrairieH
SOYBBNGPOR-C1,SOYB MOPOR SPOT ,0.28,2/27/2020,Bunge           ,Bunge                                                                           ,613 County Hwy 434                                                              ,Portageville    ,Soybeans        ,"""Portageville, MO - 63873.  Phone - 573-3795-405""                               ",SOYB MO Prtagvil
SOYBADMSTL-C1,SOYB MOSTL SPOT ,0.31,2/27/2020,ADM             ,ADM                                                                             ,1 East Grand Ave                                                                ,Saint Louis     ,Soybeans        ,"""Saint Louis, MO - 63101.  Phone - 800-3250-990""                                ",SOYB MO Saint Lo
SOYBCHSSTL-C1,SOYB MOSTL SPOT ,NA,NA,CHS             ,CHS                                                                             ,1840 N Wharf St                                                                 ,Saint Louis     ,Soybeans        ,"""Saint Louis, MO - 63102.  Phone - 800-5489-730""                                ",SOYB MO Saint Ls
SOYBMFASBU-C1,SOYB MOSBU SPOT ,NA,NA,MFA             ,MFA                                                                             ,304 W Front St                                                                  ,Salisbury       ,Soybeans        ,"""Salisbury, MO - 65281.  Phone - 660-3886-421""                                  ",SOYB MO Salisbur
SOYBMGBSCT-C1,SOYB MOSCT SPOT ,0.1,2/27/2020,Midwest Grain   ,Midwest Grain and Barge                                                         ,179 Rushing Rd                                                                  ,Scott City      ,Soybeans        ,"""Scott City, MO - 63780.  Phone - 573-6510-988""                                 ",SOYB MO ScottCit
SOYBADMSHE-C1,SOYB MOSHE SPOT ,-0.14,2/27/2020,ADM             ,ADM                                                                             ,308 E Chestnut St                                                               ,Shelbina        ,Soybeans        ,"""Shelbina, MO - 63468.  Phone - 573-5887-629""                                   ",SOYB MO Shelbina
SOYBCRGSIK-C1,SOYB MOSIK SPOT ,NA,NA,Cargill         ,Cargill                                                                         ,410 W Malone Ave                                                                ,Sikeston        ,Soybeans        ,"""Sikeston, MO - 63801.  Phone - 573-4722-272""                                   ",SOYB MO Sikeston
SOYBCAESLT-C1,SOYB MOSLT SPOT ,-0.25,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 188                                                                      ,Slater          ,Soybeans        ,"""Slater, MO - 65349.  Phone - 660-5293-359""                                     ",SOYB MO Slater  
SOYBRCGSLT-C1,SOYB MOSLT SPOT ,-0.25,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,Route 2 Box 4A                                                                  ,Slater          ,Soybeans        ,"""Slater, MO - 65349.  Phone - 660-5292-676""                                     ",SOYB MO Slater  
SOYBAGPSTJ-C1,SOYB MOSTJ SPOT ,-0.05,2/19/2020,AGP             ,AGP                                                                             ,900 SW Lower Lake Rd                                                            ,St Joseph       ,Soybeans        ,"""St Joseph, MO - 64501.  Phone - 816-2381-700""                                  ",SOYB MO St Josep
SOYBBRGSTJ-C1,SOYB MOSTJ SPOT ,-0.2,2/27/2020,Bartlett Grain  ,Bartlett Grain                                                                  ,1005 E Lake Blvd                                                                ,St Joseph       ,Soybeans        ,"""St Joseph, MO - 64501.  Phone - 816-2384-561""                                  ",SOYB MO StJoseph
SOYBRCGSMN-C1,SOYB MOSMN SPOT ,-0.35,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,317 Centre St                                                                   ,Sumner          ,Soybeans        ,"""Sumner, MO - 64681.  Phone - 660-8563-535""                                     ",SOYB MO Sumner  
SOYBMFASTS-C1,SOYB MOSTS SPOT ,-0.25,2/27/2020,MFA             ,MFA                                                                             ,125 Lexington Ave                                                               ,Sweet Springs   ,Soybeans        ,"""Sweet Springs, MO - 65351.  Phone - 660-3356-355""                              ",SOYB MO SweetSpr
SOYBAPCTAR-C1,SOYB MOTAR SPOT ,-0.52,2/27/2020,Ag Partners Coop,Ag Partners Coop                                                                ,302 Park St                                                                     ,Tarkio          ,Soybeans        ,"""Tarkio, MO - 64491.  Phone - 660-7364-145""                                     ",SOYB MO Tarkio  
SOYBHADTNT-C1,SOYB MOTNT SPOT ,-0.3,2/27/2020,Gage Fertilizer ,Gage Fertilizer and Grain                                                       ,915 Shanklin St                                                                 ,Trenton         ,Soybeans        ,"""Trenton, MO - 64683.  Phone - 660-3592-258""                                    ",SOYB MO Trenton 
SOYBMFATNT-C1,SOYB MOTNT SPOT ,-0.45,2/27/2020,MFA             ,MFA                                                                             ,3031 Pleasant Pln                                                               ,Trenton         ,Soybeans        ,"""Trenton, MO - 64683.  Phone - 660-3592-297""                                    ",SOYB MO Trenton 
SOYBFWLUNV-C1,SOYB MOUNV SPOT ,NA,NA,Fowler Elevator ,Fowler Elevator                                                                 ,28597 US Highway 136                                                            ,Unionville      ,Soybeans        ,"""Unionville, MO - 63565.  Phone - 660-9472-488""                                 ",SOYB MO Unionvil
SOYBMFAVND-C1,SOYB MOVND SPOT ,-0.02,2/27/2020,MFA             ,MFA                                                                             ,411 W State St                                                                  ,Vandalia        ,Soybeans        ,"""Vandalia, MO - 63382.  Phone - 573-5946-415""                                   ",SOYB MO Vandalia
SOYBNACVRS-C1,SOYB MOVRS SPOT ,-0.35,2/27/2020,NutraAg LLC     ,NutraAg LLC                                                                     ,12747 Market Road                                                               ,Versailles      ,Soybeans        ,"""Versailles, MO - 65084.  Phone - 573-3782-800""                                 ",SOYB MO Versaill
SOYBCAEWAV-C1,SOYB MOWAV SPOT ,-0.25,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,215 Thomas Ln                                                                   ,Waverly         ,Soybeans        ,"""Waverly, MO - 64096.  Phone - 660-4932-218""                                    ",SOYB MO Waverly 
SOYBPSFCFE-C1,SOYB MOCFE SPOT ,-0.78,2/27/2020,MB Grain        ,MB Grain                                                                        ,18115 State Hwy B                                                               ,Pattonsburg     ,Soybeans        ,"""Pattonsburg, MO - 64670.  Phone - 660-7487-270""                                ",SOYB MO Patnsbrg
SOYBSCGADR-C1,SOYB ADRMO SPOT ,-0.25,2/27/2020,Scoular Grain   ,Scoular Grain                                                                   ,15 Quail Run                                                                    ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-3807-153""                                     ",SOYB MO Adrian  
SOYBLAWLWN-C1,SOYB MOLWN SPOT ,NA,NA,LawsonAgriServ  ,Lawson Agri Service                                                             ,624 N Penn Ave                                                                  ,Lawson          ,Soybeans        ,"""Lawson, MO - 64062.  Phone - 816-2963-262""                                     ",SOYB MO Lawson  
SOYBMFAALB-C1,SOYB MOALB SPOT ,-0.45,2/27/2020,MFA             ,MFA                                                                             ,408 S Birch St                                                                  ,Albany          ,Soybeans        ,"""Albany, MO - 64402.  Phone - 660-7265-216""                                     ",SOYB MO Albany  
SOYBCEVCME-C1,SOYB MOCME SPOT ,-0.38,2/27/2020,Cameron Elevator,Cameron Elevator                                                                ,102 S Walnut                                                                    ,Cameron         ,Soybeans        ,"""Cameron, MO - 64429.  Phone - 816-6322-124""                                    ",SOYB MO Cameron 
SOYBMFAATI-C1,SOYB MOATI SPOT ,-0.45,2/27/2020,MFA             ,MFA                                                                             ,24395 State Hwy 6                                                               ,Gallatin        ,Soybeans        ,"""Gallatin, MO - 64640.  Phone - 660-6633-221""                                   ",SOYB MO Gallatin
