"Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location","octAvg","janAvg"
"SOYBADMMRT-C1","SOYB MOMRT SPOT ","0.2","2020-03-06","ADM             ","ADM                                                                             ","734 New Madrid County Rd                                                        ","Marston         ","Soybeans        ","""Marston, MO - 63866.  Phone - 573-6430-055""                                    ","SOYB MO Marston ",-0.0318181818181818,0.172380952380952
"SOYBADMMTM-C1","SOYB MOMTM SPOT ","-0.05","2020-03-06","ADM             ","ADM                                                                             ","320 Short St                                                                    ","Montgomery City ","Soybeans        ","""Montgomery City, MO - 63361.  Phone - 573-5642-089""                            ","SOYB MO Montgome",NA,-0.156666666666667
"SOYBADMNOV-C1","SOYB MONOV SPOT ","-0.17","2020-03-06","ADM             ","ADM                                                                             ","-                                                                               ","Novelty         ","Soybeans        ","""Novelty, MO - 63460.  Phone - 800-6783-323""                                    ","SOYB MO Novelty ",NA,-0.243333333333333
"SOYBADMRNL-C1","SOYB MORNL SPOT ","-0.05","2020-03-06","ADM             ","ADM                                                                             ","115 Bluff St                                                                    ","Rhineland       ","Soybeans        ","""Rhineland, MO - 65069.  Phone - 573-2364-377""                                  ","SOYB MO Rhinelan",NA,-0.156666666666667
"SOYBADMSHE-C1","SOYB MOSHE SPOT ","-0.2","2020-03-06","ADM             ","ADM                                                                             ","308 E Chestnut St                                                               ","Shelbina        ","Soybeans        ","""Shelbina, MO - 63468.  Phone - 573-5887-629""                                   ","SOYB MO Shelbina",-0.429545454545455,-0.250952380952381
"SOYBADMSTL-C1","SOYB MOSTL SPOT ","0.22","2020-03-06","ADM             ","ADM                                                                             ","1 East Grand Ave                                                                ","Saint Louis     ","Soybeans        ","""Saint Louis, MO - 63101.  Phone - 800-3250-990""                                ","SOYB MO Saint Lo",-0.0118181818181818,0.198
"SOYBAGPSTJ-C1","SOYB MOSTJ SPOT ","-0.1","2020-03-06","AGP             ","AGP                                                                             ","900 SW Lower Lake Rd                                                            ","St Joseph       ","Soybeans        ","""St Joseph, MO - 64501.  Phone - 816-2381-700""                                  ","SOYB MO St Josep",-0.59047619047619,-0.242941176470588
"SOYBAPCTAR-C1","SOYB MOTAR SPOT ","-0.6","2020-03-06","Ag Partners Coop","Ag Partners Coop                                                                ","302 Park St                                                                     ","Tarkio          ","Soybeans        ","""Tarkio, MO - 64491.  Phone - 660-7364-145""                                     ","SOYB MO Tarkio  ",-0.899090909090909,-0.70047619047619
"SOYBBAAMEV-C1","SOYB MOMEV SPOT ","-0.51","2020-03-06","Butterfield&Asso","Butterfield and Assoc Grain                                                     ","105 E John                                                                      ","Meadville       ","Soybeans        ","""Meadville, MO - 64659.  Phone - 660-9384-116""                                  ","SOYB MO Meadvile",-0.723333333333333,-0.582
"SOYBBALNEL-C1","SOYB MONEL SPOT ","-0.25","2020-03-06","Baltz Feed Co   ","Baltz Feed Co                                                                   ","424 Hart St                                                                     ","Neelyville      ","Soybeans        ","""Neelyville, MO - 63954.  Phone - 573-9893-250""                                 ","SOYB MO Neelyvil",-0.379545454545455,-0.301
"SOYBBCTMRH-C1","SOYB MOMRH SPOT ","-0.1","2020-03-06","Buchheit Agri   ","Buchheit Agri                                                                   ","199 W Front St                                                                  ","Morehouse       ","Soybeans        ","""Morehouse, MO - 63838.  Phone - 573-6679-921""                                  ","SOYB MO Morehous",-0.202272727272727,-0.0142857142857143
"SOYBBCTPRY-C1","SOYB MOPRY SPOT ","-0.24","2020-03-06","Buchheit Agri   ","Buchheit Agri                                                                   ","33 PCR 540                                                                      ","Perryville      ","Soybeans        ","""Perryville, MO - 63775.  Phone - 573-5474-569""                                 ","SOYB MO Perryvil",-0.328636363636364,-0.141428571428571
"SOYBBNGCRT-C1","SOYB MOCRT SPOT ","0.22","2020-03-06","Bunge           ","Bunge                                                                           ","Carlton and Riverfront                                                          ","Caruthersville  ","Soybeans        ","""Caruthersville, MO - 63830.  Phone - 573-3334-121""                             ","SOYB MO Caruther",-0.0563636363636364,0.187142857142857
"SOYBBNGLAG-C1","SOYB MOLAG SPOT ","-0.15","2020-01-09","Bunge           ","Bunge                                                                           ","401 S Main St                                                                   ","La Grange       ","Soybeans        ","""La Grange, MO - 63448.  Phone - 573-6552-281""                                  ","SOYB MO La Grang",-0.290952380952381,-0.149473684210526
"SOYBBNGLOU-C1","SOYB MOLOU SPOT ","-0.09","2020-03-06","Bunge           ","Bunge                                                                           ","Highway 79 S                                                                    ","Louisiana       ","Soybeans        ","""Louisiana, MO - 63353.  Phone - 800-3920-205""                                  ","SOYB MO Louisian",-0.274545454545455,-0.148095238095238
"SOYBBNGPOP-C1","SOYB MOPOP SPOT ",NA,NA,"Bunge           ","Bunge                                                                           ","3090 Highway B                                                                  ","Poplar Bluff    ","Soybeans        ","""Poplar Bluff, MO - 63901.  Phone - 573-6862-432""                               ","SOYB MO PoplarBl",NA,NA
"SOYBBNGPOR-C1","SOYB MOPOR SPOT ","0.22","2020-03-06","Bunge           ","Bunge                                                                           ","613 County Hwy 434                                                              ","Portageville    ","Soybeans        ","""Portageville, MO - 63873.  Phone - 573-3795-405""                               ","SOYB MO Prtagvil",-0.0681818181818182,0.18047619047619
"SOYBBRGSTJ-C1","SOYB MOSTJ SPOT ","-0.3","2020-03-06","Bartlett Grain  ","Bartlett Grain                                                                  ","1005 E Lake Blvd                                                                ","St Joseph       ","Soybeans        ","""St Joseph, MO - 64501.  Phone - 816-2384-561""                                  ","SOYB MO StJoseph",-0.725,-0.32047619047619
"SOYBCAEBCB-C1","SOYB MOBCB SPOT ","-0.3","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Soybeans        ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","SOYB MO Blackbrn",-0.613636363636364,-0.404285714285714
"SOYBCAEMAR-C1","SOYB MOMAR SPOT ","-0.3","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","211 N Lyon                                                                      ","Marshall        ","Soybeans        ","""Marshall, MO - 65340.  Phone - 660-8866-976""                                   ","SOYB MO Marshall",-0.613636363636364,-0.404285714285714
"SOYBCAEMBN-C1","SOYB MOMBN SPOT ","-0.3","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 66                                                                       ","Malta Bend      ","Soybeans        ","""Malta Bend, MO - 65339.  Phone - 660-5952-213""                                 ","SOYB MO MaltaBen",-0.613636363636364,-0.404285714285714
"SOYBCAEMIM-C1","SOYB MOMIM SPOT ","-0.3","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","308 N Bluff                                                                     ","Miami           ","Soybeans        ","""Miami, MO - 65344.  Phone - 660-8523-381""                                      ","SOYB MO Miami   ",-0.613636363636364,-0.404285714285714
"SOYBCAESLT-C1","SOYB MOSLT SPOT ","-0.3","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 188                                                                      ","Slater          ","Soybeans        ","""Slater, MO - 65349.  Phone - 660-5293-359""                                     ","SOYB MO Slater  ",-0.613636363636364,-0.404285714285714
"SOYBCAEWAV-C1","SOYB MOWAV SPOT ","-0.3","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","215 Thomas Ln                                                                   ","Waverly         ","Soybeans        ","""Waverly, MO - 64096.  Phone - 660-4932-218""                                    ","SOYB MO Waverly ",-0.613636363636364,-0.404285714285714
"SOYBCEVCME-C1","SOYB MOCME SPOT ","-0.46","2020-03-06","Cameron Elevator","Cameron Elevator                                                                ","102 S Walnut                                                                    ","Cameron         ","Soybeans        ","""Cameron, MO - 64429.  Phone - 816-6322-124""                                    ","SOYB MO Cameron ",-0.770454545454546,-0.530952380952381
"SOYBCGBCHO-C1","SOYB MOCHO SPOT ","0.15","2020-03-06","Cnslidated Grain","Consolidated Grain and Barge                                                    ","6720 E Highway K                                                                ","Charleston      ","Soybeans        ","""Charleston, MO - 63834.  Phone - 573-6753-433""                                 ","SOYB MO Charlstn",-0.101428571428571,0.103333333333333
"SOYBCGBCRT-C1","SOYB MOCRT SPOT ","0.15","2020-03-06","Cnslidated Grain","Consolidated Grain and Barge                                                    ","Pemiscott Co Port Cty Rd 337                                                    ","Caruthersville  ","Soybeans        ","""Caruthersville, MO - 63830.  Phone - 573-3590-036""                             ","SOYB MO Caruther",-0.0563636363636364,0.157142857142857
"SOYBCGBCRT2-C1","SOYB MOCR2 SPOT ",NA,NA,"Cnslidated Grain","Consolidated Grain and Barge                                                    ","2140 County Highway 553                                                         ","Caruthersville  ","Soybeans        ","""Caruthersville, MO - 63830.  Phone - 573-3331-881""                             ","SOYB MO Caruthe2",NA,NA
"SOYBCGBEPR-C1","SOYB MOEPR SPOT ","0.23","2020-02-28","Cnslidated Grain","Consolidated Grain and Barge                                                    ","20314 South Highway 77                                                          ","East Prairie    ","Soybeans        ","""East Prairie, MO - 63845.  Phone - 573-6493-014""                               ","SOYB MO EastPrai",-0.0495238095238095,0.0942857142857143
"SOYBCGBSCT-C1","SOYB MOSCT SPOT ","0.05","2020-03-06","Cnslidated Grain","Consolidated Grain and Barge                                                    ","2133 E State Hwy                                                                ","Scott City      ","Soybeans        ","""Scott City, MO - 63780.  Phone - 573-2642-411""                                 ","SOYB MO Scott Ci",-0.204545454545455,0.0104761904761905
"SOYBCGICRA-C1","SOYB MOCRA SPOT ","-0.54","2020-03-06","Craig Grain     ","Craig Grain                                                                     ","102 S Main St                                                                   ","Craig           ","Soybeans        ","""Craig, MO - 64437.  Phone - 660-6835-631""                                      ","SOYB MO Craig   ",-0.887272727272727,-0.723333333333333
"SOYBCHSSTL-C1","SOYB MOSTL SPOT ",NA,NA,"CHS             ","CHS                                                                             ","1840 N Wharf St                                                                 ","Saint Louis     ","Soybeans        ","""Saint Louis, MO - 63102.  Phone - 800-5489-730""                                ","SOYB MO Saint Ls",NA,NA
"SOYBCHUCUA-C1","SOYB MOCUA SPOT ","-0.55","2020-03-06","Chula Farmers   ","Chula Farmers                                                                   ","215 Manning Ave                                                                 ","Chula           ","Soybeans        ","""Chula, MO - 64635.  Phone - 660-6393-125""                                      ","SOYB MO Chula   ",-0.831818181818182,-0.474761904761905
"SOYBCNMBYM-C1","SOYB MOBYM SPOT ","-0.39","2020-03-06","Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Soybeans        ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","SOYB MO Braymer ",-0.881818181818182,-0.618571428571429
"SOYBCRGCHO-C1","SOYB MOCHO SPOT ","0.2","2020-03-06","Cargill         ","Cargill                                                                         ","758 State Highway N                                                             ","Charleston      ","Soybeans        ","""Charleston, MO - 63834.  Phone - 800-7422-789""                                 ","SOYB MO Charlstn",-0.0290909090909091,0.162857142857143
"SOYBCRGFRC-C1","SOYB MOFRC SPOT ","-0.47","2020-03-06","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Soybeans        ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","SOYB MO ForestCt",-0.670833333333333,-0.59
"SOYBCRGKNC-C1","SOYB MOKNC SPOT ",NA,NA,"Cargill         ","Cargill                                                                         ","340 Southwest Blvd                                                              ","Kansas City     ","Soybeans        ","""Kansas City, KS - 66103.  Phone - 800-3333-884""                                ","SOYB MO Kansas  ",NA,NA
"SOYBCRGKNC2-C1","SOYB MOKN2 SPOT ",NA,NA,"Cargill         ","Cargill                                                                         ","4801 NE Birmingham Rd                                                           ","Kansas City     ","Soybeans        ","""Kansas City, MO - 64117.  Phone - 816-4522-161""                                ","SOYB MO Kansas2 ",NA,NA
"SOYBCRGKNC3-C1","SOYB MOKN3 SPOT ","0","2020-03-06","Cargill         ","Cargill                                                                         ","2306 Rochester St                                                               ","Kansas City     ","Soybeans        ","""Kansas City, MO - 64120.  Phone - 816-2450-500""                                ","SOYB MO Kansas3 ",-0.370833333333333,-0.0375
"SOYBCRGNMD-C1","SOYB MONMD SPOT ","0.2","2020-03-06","Cargill         ","Cargill                                                                         ","300 Levee Rd                                                                    ","New Madrid      ","Soybeans        ","""New Madrid, MO - 63869.  Phone - 800-5292-755""                                 ","SOYB MO NewMdrid",0.0116666666666667,0.18
"SOYBCRGSIK-C1","SOYB MOSIK SPOT ",NA,NA,"Cargill         ","Cargill                                                                         ","410 W Malone Ave                                                                ","Sikeston        ","Soybeans        ","""Sikeston, MO - 63801.  Phone - 573-4722-272""                                   ","SOYB MO Sikeston",NA,NA
"SOYBFREMOE-C1","SOYB MOMOE SPOT ","-0.25","2020-03-06","Farmers Elevator","Farmers Elevator                                                                ","107 S Vine St                                                                   ","Monroe City     ","Soybeans        ","""Monroe City, MO - 63456.  Phone - 573-7354-543""                                ","SOYB MO MonroeCi",-0.480909090909091,-0.275238095238095
"SOYBFWLNTN-C1","SOYB MONTN SPOT ",NA,NA,"Fowler Elevator ","Fowler Elevator                                                                 ","PO Box 147                                                                      ","Newtown         ","Soybeans        ","""Newtown, MO - 64667.  Phone - 660-7495-215""                                    ","SOYB MO Newtown ",NA,NA
"SOYBFWLUNV-C1","SOYB MOUNV SPOT ",NA,NA,"Fowler Elevator ","Fowler Elevator                                                                 ","28597 US Highway 136                                                            ","Unionville      ","Soybeans        ","""Unionville, MO - 63565.  Phone - 660-9472-488""                                 ","SOYB MO Unionvil",NA,NA
"SOYBGFGBTH-C1","SOYB MOBTH SPOT ",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Soybeans        ","660-425-3014                                                                    ","SOYB MO Bethany ",NA,NA
"SOYBGGFAIT-C1","SOYB MOAIT SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","101 Main St                                                                     ","Maitland        ","Soybeans        ","""Maitland, MO - 64466.  Phone - 660-7832-700""                                   ","SOYB MO Maitland",-0.8,NA
"SOYBGGFALB-C1","SOYB MOALB SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","805 Mill St                                                                     ","Albany          ","Soybeans        ","""Albany, MO - 64402.  Phone - 660-7263-919""                                     ","SOYB MO Albany  ",-0.811363636363636,NA
"SOYBGGFBTH-C1","SOYB MOBTH SPOT ","-0.4","2020-03-06","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","31019 E 260th Ave                                                               ","Bethany         ","Soybeans        ","""Bethany, MO - 64424.  Phone - 660-4253-733""                                    ","SOYB MO Bethany ",-0.8,-0.442857142857143
"SOYBGGFBTH2-C1","SOYB MOBTH SPOT ","-0.4","2020-03-06","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","19765 West 320th St                                                             ","Bethany         ","Soybeans        ","""Bethany, MO - 64424.  Phone - 660-4256-343""                                    ","SOYB MO Bethany ",-0.8,-0.442857142857143
"SOYBGGFERR-C1","SOYB MOERR SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","105 S. High St                                                                  ","Stanberry       ","Soybeans        ","""Stanberry, MO - 64489.  Phone - 660-7832-700""                                  ","SOYB MO Stanberr",-0.8,NA
"SOYBGGFRAV-C1","SOYB MORAV SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","113 E Hawk                                                                      ","Ravenwood       ","Soybeans        ","""Ravenwood, MO - 64479.  Phone - 660-9373-151""                                  ","SOYB MO Ravenwoo",NA,NA
"SOYBGGFSTJ-C1","SOYB MOSTJ SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","1901 S 6th St                                                                   ","St Joseph       ","Soybeans        ","""St Joseph, MO - 64501.  Phone - 816-2328-555""                                  ","SOYB MO St Josep",-0.622272727272727,NA
"SOYBHADGMC-C1","SOYB MOGMC SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Soybeans        ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","SOYB MO GilmanCi",-0.8,-0.45
"SOYBHADTNT-C1","SOYB MOTNT SPOT ","-0.4","2020-03-06","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","915 Shanklin St                                                                 ","Trenton         ","Soybeans        ","""Trenton, MO - 64683.  Phone - 660-3592-258""                                    ","SOYB MO Trenton ",-0.781818181818182,-0.442857142857143
"SOYBHCLMOE-C1","SOYB MOMOE SPOT ","-0.22","2020-03-06","Hassard Elevator","Hassard Elevator                                                                ","11523 Highway J                                                                 ","Monroe City     ","Soybeans        ","""Monroe City, MO - 63456.  Phone - 573-7352-952""                                ","SOYB MO MonroeCi",-0.487142857142857,-0.278
"SOYBHMNHDN-C1","SOYB MOHDN SPOT ","-0.47","2020-03-06","Heiman Grain    ","Heiman Grain                                                                    ","201 S Vine St                                                                   ","Holden          ","Soybeans        ","""Holden, MO - 64040.  Phone - 816-7324-131""                                     ","SOYB MO Holden  ",-0.862727272727273,-0.706190476190476
"SOYBJSPJSP-C1","SOYB MOJSP SPOT ","-0.41","2020-03-06","Jasper Grain    ","Jasper Grain                                                                    ","308 W Morrison Ave                                                              ","Jasper          ","Soybeans        ","""Jasper, MO - 64755.  Phone - 417-3942-156""                                     ","SOYB MO Jasper  ",-0.789545454545455,-0.563333333333333
"SOYBLATLRP-C1","SOYB MOLRP SPOT ","-0.3","2020-03-06","Lathrop Feed    ","Lathrop Feed and Grain                                                          ","402 Locust                                                                      ","Lathrop         ","Soybeans        ","""Lathrop, MO - 64465.  Phone - 816-5284-255""                                    ","SOYB MO Lathrop ",-0.745454545454545,-0.35
"SOYBLAWLWN-C1","SOYB MOLWN SPOT ",NA,NA,"LawsonAgriServ  ","Lawson Agri Service                                                             ","624 N Penn Ave                                                                  ","Lawson          ","Soybeans        ","""Lawson, MO - 64062.  Phone - 816-2963-262""                                     ","SOYB MO Lawson  ",-0.6,NA
"SOYBLFEGOL-C1","SOYB MOGOL SPOT ",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Soybeans        ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","SOYB MO GoldenCi",-0.835555555555555,-0.758125
"SOYBLFELKW-C1","SOYB MOLKW SPOT ","-0.58","2020-03-06","Lockwood Farmers","Lockwood Farmers Exchange                                                       ","107 W 6th St                                                                    ","Lockwood        ","Soybeans        ","""Lockwood, MO - 65682.  Phone - 417-2324-525""                                   ","SOYB MO Lockwood",-0.947727272727273,-0.779047619047619
"SOYBMFAALB-C1","SOYB MOALB SPOT ","-0.4","2020-03-06","MFA             ","MFA                                                                             ","408 S Birch St                                                                  ","Albany          ","Soybeans        ","""Albany, MO - 64402.  Phone - 660-7265-216""                                     ","SOYB MO Albany  ",-0.759090909090909,-0.545238095238095
"SOYBMFAALM-C1","SOYB MOALM SPOT ","-0.3","2020-03-05","MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Soybeans        ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","SOYB MO Alma    ",-0.631818181818182,-0.40952380952381
"SOYBMFAATI-C1","SOYB MOATI SPOT ","-0.4","2020-03-06","MFA             ","MFA                                                                             ","24395 State Hwy 6                                                               ","Gallatin        ","Soybeans        ","""Gallatin, MO - 64640.  Phone - 660-6633-221""                                   ","SOYB MO Gallatin",-0.759090909090909,-0.545238095238095
"SOYBMFABOO-C1","SOYB MOBOO SPOT ",NA,NA,"MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Soybeans        ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","SOYB MO Boonvill",-0.609090909090909,NA
"SOYBMFABRL-C1","SOYB MOBRL SPOT ","-0.45","2020-03-06","MFA             ","MFA                                                                             ","110 W Main                                                                      ","Burlington Junct","Soybeans        ","""Burlington Junction, MO - 64428.  Phone - 660-7253-302""                        ","SOYB MO Burlingt",-0.967272727272727,-0.638571428571429
"SOYBMFABTH-C1","SOYB MOBTH SPOT ","-0.4","2020-03-06","MFA             ","MFA                                                                             ","1201 N 25th St                                                                  ","Bethany         ","Soybeans        ","""Bethany, MO - 64424.  Phone - 660-4257-045""                                    ","SOYB MO Bethany ",-0.759090909090909,-0.545238095238095
"SOYBMFABWI-C1","SOYB MOBWI SPOT ","-0.55","2020-03-06","MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Soybeans        ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","SOYB MO Browning",-0.804545454545455,-0.5
"SOYBMFACNC-C1","SOYB MOCNC SPOT ","-0.3","2020-03-05","MFA             ","MFA                                                                             ","601 Main St                                                                     ","Concordia       ","Soybeans        ","""Concordia, MO - 64020.  Phone - 660-4630-888""                                  ","SOYB MO Concordi",-0.634090909090909,-0.40952380952381
"SOYBMFACTL-C1","SOYB MOCTL SPOT ","-0.31","2020-03-06","MFA             ","MFA                                                                             ","108 Market St                                                                   ","Centralia       ","Soybeans        ","""Centralia, MO - 65240.  Phone - 573-7635-317""                                  ","SOYB MO Centrali",-0.677272727272727,-0.290526315789474
"SOYBMFAFYT-C1","SOYB MOFYT SPOT ",NA,NA,"MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Soybeans        ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","SOYB MO Fayette ",-0.609090909090909,NA
"SOYBMFAGLG-C1","SOYB MOGLG SPOT ",NA,NA,"MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Soybeans        ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","SOYB MO Glasgow ",-0.609090909090909,NA
"SOYBMFAHAM-C1","SOYB MOHAM SPOT ","-0.3","2020-03-06","MFA             ","MFA                                                                             ","313 N. Davis St.                                                                ","Hamilton        ","Soybeans        ","""Hamilton, MO - 64644.  Phone - 816-5832-128""                                   ","SYBNS MI HAMILTO",-0.725909090909091,-0.505714285714286
"SOYBMFAHGN-C1","SOYB MOHGN SPOT ","-0.3","2020-03-06","MFA             ","MFA                                                                             ","105 W 22nd St                                                                   ","Higginsville    ","Soybeans        ","""Higginsville, MO - 64037.  Phone - 660-5843-676""                               ","SOYB MO Higginsv",-0.638181818181818,-0.378095238095238
"SOYBMFAKKS-C1","SOYB MOKKS SPOT ","-0.41","2020-03-06","MFA             ","MFA                                                                             ","316 W  Potter Ave                                                               ","Kirksville      ","Soybeans        ","""Kirksville, MO - 63501.  Phone - 660-6654-695""                                 ","SOYB MO Kirksvil",-0.570454545454545,-0.428095238095238
"SOYBMFALAD-C1","SOYB MOLAD SPOT ","-0.13","2020-03-06","MFA             ","MFA                                                                             ","506 E 1st St                                                                    ","Laddonia        ","Soybeans        ","""Laddonia, MO - 63352.  Phone - 573-3735-334""                                   ","SOYB MO Laddonia",-0.541363636363636,-0.214761904761905
"SOYBMFALEX-C1","SOYB MOLEX SPOT ","-0.3","2020-03-06","MFA             ","MFA                                                                             ","24th and Monroe Sts                                                             ","Lexington       ","Soybeans        ","""Lexington, MO - 64067.  Phone - 660-2592-261""                                  ","SOYB MO Lexingto",-0.638181818181818,-0.378095238095238
"SOYBMFALMR-C1","SOYB MOLMR SPOT ","-0.45","2020-03-06","MFA             ","MFA                                                                             ","1801 KK Hwy                                                                     ","Lamar           ","Soybeans        ","""Lamar, MO - 64759.  Phone - 417-6825-593""                                      ","SOYB MO Lamar   ",-0.8,-0.447619047619048
"SOYBMFALNC-C1","SOYB MOLNC SPOT ",NA,NA,"MFA             ","MFA                                                                             ","Hwy 63 N                                                                        ","Lancaster       ","Soybeans        ","""Lancaster, MO - 63548.  Phone - 660-4573-728""                                  ","SOYB MO Lancaste",NA,NA
"SOYBMFALRD-C1","SOYB MOLRD SPOT ","-0.5","2020-03-06","MFA             ","MFA                                                                             ","410 E 2nd S                                                                     ","Laredo          ","Soybeans        ","""Laredo, MO - 64652.  Phone - 660-3592-297""                                     ","SOYB MO Laredo  ",-0.843181818181818,-0.45
"SOYBMFAMCN-C1","SOYB MOMCN SPOT ","-0.35","2020-03-06","MFA             ","MFA                                                                             ","1805 A N Missouri St                                                            ","Macon           ","Soybeans        ","""Macon, MO - 63552.  Phone - 660-3855-753""                                      ","SOYB MO Macon   ",-0.588636363636364,-0.435714285714286
"SOYBMFAMIA-C1","SOYB MOMIA SPOT ","-0.55","2020-03-06","MFA             ","MFA                                                                             ","914 E 3rd St                                                                    ","Milan           ","Soybeans        ","""Milan, MO - 63556.  Phone - 660-2654-202""                                      ","SOYB MO Milan   ",-0.804545454545455,-0.5
"SOYBMFAMTM-C1","SOYB MOMTM SPOT ","-0.05","2020-03-06","MFA             ","MFA                                                                             ","226 N Walker St                                                                 ","Montgomery City ","Soybeans        ","""Montgomery City, MO - 63361.  Phone - 573-5642-241""                            ","SOYB MO Montgome",-0.4715,-0.162857142857143
