Instrument,CF_NAME,CF_BID,CF_DATE,GEN_TEXT16,ROW80_1,ROW80_2,GN_TXT16_2,GN_TXT16_4,ROW80_3,Location
CORNWCAADR-X,CORN MOADR NOV20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-Z,CORN MOADR DEC20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-F,CORN MOADR JAN21,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNMFAALM-C1,CORN MOALM SPOT ,0,2/27/2020,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-G,CORN MOALM FEB20,0,2/27/2020,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-H,CORN MOALM MAR20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-J,CORN MOALM APR20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-K,CORN MOALM MAY20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-M,CORN MOALM JUN20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-N,CORN MOALM JUL20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-Q,CORN MOALM AUG20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-U,CORN MOALM SEP20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-V,CORN MOALM OCT20,-0.35,2/27/2020,MFA             ,MFA                                                                             ,"Alma, MO - 64001                                                                ",Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-X,CORN MOALM NOV20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-Z,CORN MOALM DEC20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNMFAALM-F,CORN MOALM JAN21,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNADMBIN-C1,CORN MOBIN SPOT ,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-G,CORN MOBIN FEB20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-H,CORN MOBIN MAR20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-J,CORN MOBIN APR20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-K,CORN MOBIN MAY20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-M,CORN MOBIN JUN20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-N,CORN MOBIN JUL20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-Q,CORN MOBIN AUG20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-U,CORN MOBIN SEP20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-V,CORN MOBIN OCT20,NA,NA,ADM             ,ADM                                                                             ,"Baring, MO - 63531                                                              ",Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-X,CORN MOBIN NOV20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-Z,CORN MOBIN DEC20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNADMBIN-F,CORN MOBIN JAN21,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNGFGBTH-C1,CORN MOBTH SPOT ,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-G,CORN MOBTH FEB20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-H,CORN MOBTH MAR20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-J,CORN MOBTH APR20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"""Bethany, MO - 64424""                                                           ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-K,CORN MOBTH MAY20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"""Bethany, MO - 64424""                                                           ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-M,CORN MOBTH JUN20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-N,CORN MOBTH JUL20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-Q,CORN MOBTH AUG20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-U,CORN MOBTH SEP20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"""Bethany, MO - 64424""                                                           ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-V,CORN MOBTH OCT20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-X,CORN MOBTH NOV20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-Z,CORN MOBTH DEC20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNGFGBTH-F,CORN MOBTH JAN21,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNCAEBCB-C1,CORN MOBCB SPOT ,0,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-G,CORN MOBCB FEB20,0,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-H,CORN MOBCB MAR20,0,11/21/2019,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-J,CORN MOBCB APR20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-K,CORN MOBCB MAY20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-M,CORN MOBCB JUN20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-N,CORN MOBCB JUL20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-Q,CORN MOBCB AUG20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-U,CORN MOBCB SEP20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-V,CORN MOBCB OCT20,-0.35,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-X,CORN MOBCB NOV20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-Z,CORN MOBCB DEC20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNCAEBCB-F,CORN MOBCB JAN21,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNMFABOO-C1,CORN MOBOO SPOT ,0,2/27/2020,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-G,CORN MOBOO FEB20,0,2/27/2020,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-H,CORN MOBOO MAR20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-J,CORN MOBOO APR20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-K,CORN MOBOO MAY20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-M,CORN MOBOO JUN20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-N,CORN MOBOO JUL20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-Q,CORN MOBOO AUG20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-U,CORN MOBOO SEP20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-V,CORN MOBOO OCT20,-0.35,2/27/2020,MFA             ,MFA                                                                             ,"Boonville, MO - 65233                                                           ",Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-X,CORN MOBOO NOV20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-Z,CORN MOBOO DEC20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNMFABOO-F,CORN MOBOO JAN21,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNCNMBYM-C1,CORN MOBYM SPOT ,-0.11,2/27/2020,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-G,CORN MOBYM FEB20,-0.11,2/27/2020,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-H,CORN MOBYM MAR20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-J,CORN MOBYM APR20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-K,CORN MOBYM MAY20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-M,CORN MOBYM JUN20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-N,CORN MOBYM JUL20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-Q,CORN MOBYM AUG20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-U,CORN MOBYM SEP20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-V,CORN MOBYM OCT20,NA,NA,Consumers       ,Consumers                                                                       ,"Braymer, MO - 64624                                                             ",Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-X,CORN MOBYM NOV20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-Z,CORN MOBYM DEC20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNCNMBYM-F,CORN MOBYM JAN21,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNMFABWI-C1,CORN MOBWI SPOT ,-0.4,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-G,CORN MOBWI FEB20,-0.4,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-H,CORN MOBWI MAR20,-0.45,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-J,CORN MOBWI APR20,-0.45,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-K,CORN MOBWI MAY20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-M,CORN MOBWI JUN20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-N,CORN MOBWI JUL20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-Q,CORN MOBWI AUG20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630. Phone - 660-9464-114""                                    ",CORN MO Browning
CORNMFABWI-U,CORN MOBWI SEP20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630. Phone - 660-9464-114""                                    ",CORN MO Browning
CORNMFABWI-V,CORN MOBWI OCT20,-0.55,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630. Phone - 660-9464-114""                                    ",CORN MO Browning
CORNMFABWI-X,CORN MOBWI NOV20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-Z,CORN MOBWI DEC20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNMFABWI-F,CORN MOBWI JAN21,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNRCGBRU-C1,CORN MOBRU SPOT ,0,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-G,CORN MOBRU FEB20,0,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-H,CORN MOBRU MAR20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-J,CORN MOBRU APR20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-K,CORN MOBRU MAY20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-M,CORN MOBRU JUN20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-N,CORN MOBRU JUL20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-Q,CORN MOBRU AUG20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-U,CORN MOBRU SEP20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-V,CORN MOBRU OCT20,-0.35,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNRCGBRU-X,CORN MOBRU NOV20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
