"Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location","octAvg","janAvg"
"CORNADMSNV-C1","CORN SNOMO SPOT ","-0.15","2020-03-06","ADM             ","ADM                                                                             ","1337 W Elevator St                                                              ","Snover          ","Corn            ","""Snover, MI - 48472.  Phone - 810-6729-221""                                     ","CORN MI Snover  ",NA,-0.15
"CORNADMSTL-C1","CORN MOSTL SPOT ","0.27","2020-03-06","ADM             ","ADM                                                                             ","1 East Grand Ave                                                                ","Saint Louis     ","Corn            ","""Saint Louis, MO - 63101.  Phone - 800-3250-990""                                ","CORN MO Saint Lo",0.00181818181818182,0.198
"CORNAPCTAR-C1","CORN MOTAR SPOT ","-0.24","2020-03-06","Ag Partners Coop","Ag Partners Coop                                                                ","302 Park St                                                                     ","Tarkio          ","Corn            ","""Tarkio, MO - 64491.  Phone - 660-7364-145""                                     ","CORN MO Tarkio  ",-0.4,-0.322857142857143
"CORNBAAMEV-C1","CORN MOMEV SPOT ","-0.3","2020-03-06","Butterfield&Asso","Butterfield and Assoc Grain                                                     ","105 E John                                                                      ","Meadville       ","Corn            ","""Meadville, MO - 64659.  Phone - 660-9384-116""                                  ","CORN MO Meadvile",-0.351904761904762,-0.304
"CORNBALNEL-C1","CORN MONEL SPOT ","-0.19","2020-03-06","Baltz Feed Co   ","Baltz Feed Co                                                                   ","424 Hart St                                                                     ","Neelyville      ","Corn            ","""Neelyville, MO - 63954.  Phone - 573-9893-250""                                 ","CORN MO Neelyvil",-0.246363636363636,-0.2055
"CORNBCTMRH-C1","CORN MOMRH SPOT ","0.15","2020-03-06","Buchheit Agri   ","Buchheit Agri                                                                   ","199 W Front St                                                                  ","Morehouse       ","Corn            ","""Morehouse, MO - 63838.  Phone - 573-6679-921""                                  ","CORN MO Morehous",-0.113636363636364,0.1
"CORNBCTPRY-C1","CORN MOPRY SPOT ","0.1","2020-03-06","Buchheit Agri   ","Buchheit Agri                                                                   ","33 PCR 540                                                                      ","Perryville      ","Corn            ","""Perryville, MO - 63775.  Phone - 573-5474-569""                                 ","CORN MO Perryvil",-0.262272727272727,0.05
"CORNBNGCRT-C1","CORN MOCRT SPOT ","0.3","2020-03-06","Bunge           ","Bunge                                                                           ","Carlton and Riverfront                                                          ","Caruthersville  ","Corn            ","""Caruthersville, MO - 63830.  Phone - 573-3334-121""                             ","CORN MO Caruther",0.114285714285714,0.193809523809524
"CORNBNGLAG-C1","CORN MOLAG SPOT ","-0.03","2020-01-09","Bunge           ","Bunge                                                                           ","401 S Main St                                                                   ","La Grange       ","Corn            ","""La Grange, MO - 63448.  Phone - 573-6552-281""                                  ","CORN MO La Grang",-0.23952380952381,-0.0973684210526316
"CORNBNGLOU-C1","CORN MOLOU SPOT ","-0.02","2020-03-06","Bunge           ","Bunge                                                                           ","Highway 79 S                                                                    ","Louisiana       ","Corn            ","""Louisiana, MO - 63353.  Phone - 800-3920-205""                                  ","CORN MO Louisian",-0.232727272727273,-0.0980952380952381
"CORNBNGPOP-C1","CORN MOPOP SPOT ",NA,NA,"Bunge           ","Bunge                                                                           ","3090 Highway B                                                                  ","Poplar Bluff    ","Corn            ","""Poplar Bluff, MO - 63901.  Phone - 573-6862-432""                               ","CORN MO PoplarBl",NA,NA
"CORNBNGPOR-C1","CORN MOPOR SPOT ","0.3","2020-03-06","Bunge           ","Bunge                                                                           ","613 County Hwy 434                                                              ","Portageville    ","Corn            ","""Portageville, MO - 63873.  Phone - 573-3795-405""                               ","CORN MO Prtagvil",0.105714285714286,0.192857142857143
"CORNBRGSTJ-C1","CORN MOSTJ SPOT ","-0.06","2020-03-06","Bartlett Grain  ","Bartlett Grain                                                                  ","1005 E Lake Blvd                                                                ","St Joseph       ","Corn            ","""St Joseph, MO - 64501.  Phone - 816-2384-561""                                  ","CORN MO StJoseph",-0.206818181818182,-0.0752380952380952
"CORNCAEBCB-C1","CORN MOBCB SPOT ","0","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn",-0.138636363636364,-0.05
"CORNCAEMAR-C1","CORN MOMAR SPOT ","0","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","211 N Lyon                                                                      ","Marshall        ","Corn            ","""Marshall, MO - 65340.  Phone - 660-8866-976""                                   ","CORN MO Marshall",-0.138636363636364,-0.05
"CORNCAEMBN-C1","CORN MOMBN SPOT ","0","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 66                                                                       ","Malta Bend      ","Corn            ","""Malta Bend, MO - 65339.  Phone - 660-5952-213""                                 ","CORN MO MaltaBen",-0.138636363636364,-0.05
"CORNCAEMIM-C1","CORN MOMIM SPOT ","0","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","308 N Bluff                                                                     ","Miami           ","Corn            ","""Miami, MO - 65344.  Phone - 660-8523-381""                                      ","CORN MO Miami   ",-0.138636363636364,-0.05
"CORNCAESLT-C1","CORN MOSLT SPOT ","0","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 188                                                                      ","Slater          ","Corn            ","""Slater, MO - 65349.  Phone - 660-5293-359""                                     ","CORN MO Slater  ",-0.138636363636364,-0.05
"CORNCAEWAV-C1","CORN MOWAV SPOT ","0","2020-03-06","C.Missouri AgriS","Central Missouri AgriService                                                    ","215 Thomas Ln                                                                   ","Waverly         ","Corn            ","""Waverly, MO - 64096.  Phone - 660-4932-218""                                    ","CORN MO Waverly ",-0.138636363636364,-0.05
"CORNCECFBR-C1","CORN MOFBR SPOT ","-0.02","2020-03-06","CE Grain Co     ","CE Grain Co                                                                     ","3880 Audrain Road 541                                                           ","Farber          ","Corn            ","""Farber, MO - 63345.  Phone - 573-2494-100""                                     ","CORN MO Farber  ",-0.224090909090909,-0.0628571428571429
"CORNCEVCME-C1","CORN MOCME SPOT ","-0.15","2020-03-06","Cameron Elevator","Cameron Elevator                                                                ","102 S Walnut                                                                    ","Cameron         ","Corn            ","""Cameron, MO - 64429.  Phone - 816-6322-124""                                    ","CORN MO Cameron ",-0.303636363636364,-0.197619047619048
"CORNCGBCHO-C1","CORN MOCHO SPOT ","0.15","2020-03-06","Cnslidated Grain","Consolidated Grain and Barge                                                    ","6720 E Highway K                                                                ","Charleston      ","Corn            ","""Charleston, MO - 63834.  Phone - 573-6753-433""                                 ","CORN MO Charlstn",-0.23,0.101428571428571
"CORNCGBCRT-C1","CORN MOCRT SPOT ","0.22","2020-03-06","Cnslidated Grain","Consolidated Grain and Barge                                                    ","Pemiscott Co Port Cty Rd 337                                                    ","Caruthersville  ","Corn            ","""Caruthersville, MO - 63830.  Phone - 573-3590-036""                             ","CORN MO Caruther",-0.0931818181818182,0.164761904761905
"CORNCGBEPR-C1","CORN MOEPR SPOT ","0.19","2020-02-28","Cnslidated Grain","Consolidated Grain and Barge                                                    ","20314 South Highway 77                                                          ","East Prairie    ","Corn            ","""East Prairie, MO - 63845.  Phone - 573-6493-014""                               ","CORN MO EastPrai",-0.109545454545455,0.107619047619048
"CORNCGBSCT-C1","CORN MOSCT SPOT ","0.1","2020-03-06","Cnslidated Grain","Consolidated Grain and Barge                                                    ","2133 E State Hwy                                                                ","Scott City      ","Corn            ","""Scott City, MO - 63780.  Phone - 573-2642-411""                                 ","CORN MO Scott Ci",-0.239545454545455,0.0219047619047619
"CORNCGICRA-C1","CORN MOCRA SPOT ","-0.23","2020-03-06","Craig Grain     ","Craig Grain                                                                     ","102 S Main St                                                                   ","Craig           ","Corn            ","""Craig, MO - 64437.  Phone - 660-6835-631""                                      ","CORN MO Craig   ",-0.400909090909091,-0.317142857142857
"CORNCHNCLE-C1","CORN MOCLE SPOT ","-0.01","2020-03-06","Chinn Feed Mill ","Chinn Feed Mill                                                                 ","1058 Hwy 36                                                                     ","Clarence        ","Corn            ","""Clarence, MO - 63437.  Phone - 660-6993-865""                                   ","CORN MO Clarence",-0.234090909090909,-0.116190476190476
"CORNCHSSTL-C1","CORN MOSTL SPOT ",NA,NA,"CHS             ","CHS                                                                             ","1840 N Wharf St                                                                 ","Saint Louis     ","Corn            ","""Saint Louis, MO - 63102.  Phone - 800-5489-730""                                ","CORN MO Saint Ls",NA,NA
"CORNCHUCUA-C1","CORN MOCUA SPOT ","-0.45","2020-03-06","Chula Farmers   ","Chula Farmers                                                                   ","215 Manning Ave                                                                 ","Chula           ","Corn            ","""Chula, MO - 64635.  Phone - 660-6393-125""                                      ","CORN MO Chula   ",-0.415909090909091,-0.4
"CORNCNMBYM-C1","CORN MOBYM SPOT ","-0.11","2020-03-06","Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer ",-0.355454545454545,-0.174285714285714
"CORNCRGCHO-C1","CORN MOCHO SPOT ","0.22","2020-03-06","Cargill         ","Cargill                                                                         ","758 State Highway N                                                             ","Charleston      ","Corn            ","""Charleston, MO - 63834.  Phone - 800-7422-789""                                 ","CORN MO Charlstn",-0.0616666666666667,0.172857142857143
"CORNCRGCTL-C1","CORN MOCTL SPOT ","-0.01","2020-03-06","JBS United      ","JBS United                                                                      ","22701 N March Rd                                                                ","Centralia       ","Corn            ","""Centralia, MO - 65240.  Phone - 913-2360-894""                                  ","CORN MO Centrali",-0.14,-0.0733333333333333
"CORNCRGFRC-C1","CORN MOFRC SPOT ","-0.25","2020-03-06","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt",-0.25,-0.2
"CORNCRGKNC-C1","CORN MOKNC SPOT ",NA,NA,"Cargill         ","Cargill                                                                         ","4801 NE Birmingham Rd                                                           ","Kansas City     ","Corn            ","""Kansas City, MO - 64117.  Phone - 816-4522-161""                                ","CORN MO Kansas  ",NA,NA
"CORNCRGNMD-C1","CORN MONMD SPOT ","0.25","2020-03-06","Cargill         ","Cargill                                                                         ","300 Levee Rd                                                                    ","New Madrid      ","Corn            ","""New Madrid, MO - 63869.  Phone - 800-5292-755""                                 ","CORN MO NewMdrid",-0.0425,0.190952380952381
"CORNCRGSIK-C1","CORN MOSIK SPOT ",NA,NA,"Cargill         ","Cargill                                                                         ","410 W Malone Ave                                                                ","Sikeston        ","Corn            ","""Sikeston, MO - 63801.  Phone - 573-4722-272""                                   ","CORN MO Sikeston",NA,NA
"CORNCRPSIH-C1","CORN MOSIH SPOT ","0.17","2020-03-06","JBS United      ","JBS United                                                                      ","106 E Washington St                                                             ","Smithton        ","Corn            ","""Smithton, MO - 65350.  Phone - 660-3435-319""                                   ","CORN MO Smithton",0.00470588235294118,0.127142857142857
"CORNFREMOE-C1","CORN MOMOE SPOT ",NA,NA,"Farmers Elevator","Farmers Elevator                                                                ","107 S Vine St                                                                   ","Monroe City     ","Corn            ","""Monroe City, MO - 63456.  Phone - 573-7354-543""                                ","CORN MO MonroeCi",NA,NA
"CORNFWLNTN-C1","CORN MONTN SPOT ",NA,NA,"Fowler Elevator ","Fowler Elevator                                                                 ","PO Box 147                                                                      ","Newtown         ","Corn            ","""Newtown, MO - 64667.  Phone - 660-7495-215""                                    ","CORN MO Newtown ",NA,NA
"CORNFWLUNV-C1","CORN MOUNV SPOT ",NA,NA,"Fowler Elevator ","Fowler Elevator                                                                 ","28597 US Highway 136                                                            ","Unionville      ","Corn            ","""Unionville, MO - 63565.  Phone - 660-9472-488""                                 ","CORN MO Unionvil",NA,NA
"CORNGFGBTH-C1","CORN MOBTH SPOT ",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany ",NA,NA
"CORNGGFAIT-C1","CORN MOAIT SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","101 Main St                                                                     ","Maitland        ","Corn            ","""Maitland, MO - 64466.  Phone - 660-7832-700""                                   ","CORN MO Maitland",-0.45,NA
"CORNGGFALB-C1","CORN MOALB SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","805 Mill St                                                                     ","Albany          ","Corn            ","""Albany, MO - 64402.  Phone - 660-7263-919""                                     ","CORN MO Albany  ",-0.5,NA
"CORNGGFBTH-C1","CORN MOBTH SPOT ","-0.35","2020-03-06","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","31019 E 260th Ave                                                               ","Bethany         ","Corn            ","""Bethany, MO - 64424.  Phone - 660-4253-733""                                    ","CORN MO Bethany ",-0.4,-0.371428571428571
"CORNGGFBTH2-C1","CORN MOBTH SPOT ","-0.1","2020-03-06","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","19765 West 320th St                                                             ","Bethany         ","Corn            ","""Bethany, MO - 64424.  Phone - 660-4256-343""                                    ","CORN MO Bethany ",-0.4,-0.25
"CORNGGFERR-C1","CORN MOERR SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","105 S. High St                                                                  ","Stanberry       ","Corn            ","""Stanberry, MO - 64489.  Phone - 660-7832-700""                                  ","CORN MO Stanberr",-0.45,NA
"CORNGGFRAV-C1","CORN MORAV SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","113 E Hawk                                                                      ","Ravenwood       ","Corn            ","""Ravenwood, MO - 64479.  Phone - 660-9373-151""                                  ","CORN MO Ravenwoo",NA,NA
"CORNGGFSTJ-C1","CORN MOSTJ SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","1901 S 6th St                                                                   ","St Joseph       ","Corn            ","""St Joseph, MO - 64501.  Phone - 816-2328-555""                                  ","CORN MO St Josep",-0.3,NA
"CORNGPLHPN-C1","CORN MOHPN SPOT ","-0.27","2020-03-06","Green Plains    ","Green Plains                                                                    ","-                                                                               ","Hopkins         ","Corn            ","""Hopkins, MO - 64461.  Phone - 660-7783-331""                                    ","CORN MO Hopkins ",-0.400454545454545,-0.232380952380952
"CORNGTECRA-C1","CORN MOCRA SPOT ","-0.05","2020-03-06","Golden Triangle ","Golden Triangle Energy                                                          ","15053 Highway 111                                                               ","Craig           ","Corn            ","""Craig, MO - 64437.  Phone - 888-2205-646""                                      ","CORN MO Craig   ",-0.339545454545455,-0.0266666666666667
"CORNHADGMC-C1","CORN MOGMC SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi",-0.4,-0.4
"CORNHADTNT-C1","CORN MOTNT SPOT ","-0.35","2020-03-06","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","915 Shanklin St                                                                 ","Trenton         ","Corn            ","""Trenton, MO - 64683.  Phone - 660-3592-258""                                    ","CORN MO Trenton ",-0.4,-0.371428571428571
"CORNHCLMOE-C1","CORN MOMOE SPOT ","-0.26","2020-03-06","Hassard Elevator","Hassard Elevator                                                                ","11523 Highway J                                                                 ","Monroe City     ","Corn            ","""Monroe City, MO - 63456.  Phone - 573-7352-952""                                ","CORN MO MonroeCi",-0.48,-0.3545
"CORNHMNHDN-C1","CORN MOHDN SPOT ","0.04","2020-03-06","Heiman Grain    ","Heiman Grain                                                                    ","201 S Vine St                                                                   ","Holden          ","Corn            ","""Holden, MO - 64040.  Phone - 816-7324-131""                                     ","CORN MO Holden  ",-0.210454545454545,-0.122380952380952
"CORNJSPJSP-C1","CORN MOJSP SPOT ","0.26","2020-03-06","Jasper Grain    ","Jasper Grain                                                                    ","308 W Morrison Ave                                                              ","Jasper          ","Corn            ","""Jasper, MO - 64755.  Phone - 417-3942-156""                                     ","CORN MO Jasper  ",0.102272727272727,0.121904761904762
"CORNLATLRP-C1","CORN MOLRP SPOT ","0.04","2020-03-06","Lathrop Feed    ","Lathrop Feed and Grain                                                          ","402 Locust                                                                      ","Lathrop         ","Corn            ","""Lathrop, MO - 64465.  Phone - 816-5284-255""                                    ","CORN MO Lathrop ",-0.257272727272727,0
"CORNLAWLWN-C1","CORN MOLWN SPOT ",NA,NA,"LawsonAgriServ  ","Lawson Agri Service                                                             ","624 N Penn Ave                                                                  ","Lawson          ","Corn            ","""Lawson, MO - 64062.  Phone - 816-2963-262""                                     ","CORN MO Lawson  ",NA,NA
"CORNLFDSTJ-C1","CORN MOSTJ SPOT ","0.08","2020-03-06","Lifeline Foods  ","Lifeline Foods                                                                  ","2811 S 11                                                                       ","St Joseph       ","Corn            ","""St Joseph, MO - 64503.  Phone - 816-2791-651""                                  ","CORN MO StJoseph",-0.110454545454545,0.050952380952381
"CORNLFEGOL-C1","CORN MOGOL SPOT ",NA,NA,"GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi",-0.0205555555555556,-0.016875
"CORNLFELKW-C1","CORN MOLKW SPOT ","0.01","2020-03-06","Lockwood Farmers","Lockwood Farmers Exchange                                                       ","107 W 6th St                                                                    ","Lockwood        ","Corn            ","""Lockwood, MO - 65682.  Phone - 417-2324-525""                                   ","CORN MO Lockwood",0.00227272727272727,-0.0452380952380952
"CORNMFAALB-C1","CORN MOALB SPOT ","-0.4","2020-03-06","MFA             ","MFA                                                                             ","408 S Birch St                                                                  ","Albany          ","Corn            ","""Albany, MO - 64402.  Phone - 660-7265-216""                                     ","CORN MO Albany  ",-0.5,-0.4
"CORNMFAALM-C1","CORN MOALM SPOT ","0","2020-03-05","MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    ",-0.202272727272727,-0.05
"CORNMFAATI-C1","CORN MOATI SPOT ","-0.4","2020-03-06","MFA             ","MFA                                                                             ","24395 State Hwy 6                                                               ","Gallatin        ","Corn            ","""Gallatin, MO - 64640.  Phone - 660-6633-221""                                   ","CORN MO Gallatin",-0.413636363636364,-0.4
"CORNMFABOO-C1","CORN MOBOO SPOT ","0","2020-03-06","MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill",-0.134090909090909,-0.05
"CORNMFABRL-C1","CORN MOBRL SPOT ","-0.31","2020-03-06","MFA             ","MFA                                                                             ","110 W Main                                                                      ","Burlington Junct","Corn            ","""Burlington Junction, MO - 64428.  Phone - 660-7253-302""                        ","CORN MO Burlingt",-0.500454545454545,-0.375714285714286
"CORNMFABTH-C1","CORN MOBTH SPOT ","-0.4","2020-03-06","MFA             ","MFA                                                                             ","1201 N 25th St                                                                  ","Bethany         ","Corn            ","""Bethany, MO - 64424.  Phone - 660-4257-045""                                    ","CORN MO Bethany ",-0.436363636363636,-0.4
"CORNMFABWI-C1","CORN MOBWI SPOT ","-0.45","2020-03-06","MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning",-0.454545454545455,-0.4
"CORNMFACNC-C1","CORN MOCNC SPOT ","0","2020-03-05","MFA             ","MFA                                                                             ","601 Main St                                                                     ","Concordia       ","Corn            ","""Concordia, MO - 64020.  Phone - 660-4630-888""                                  ","CORN MO Concordi",-0.211363636363636,-0.05
"CORNMFACTL-C1","CORN MOCTL SPOT ","-0.19","2020-03-06","MFA             ","MFA                                                                             ","108 Market St                                                                   ","Centralia       ","Corn            ","""Centralia, MO - 65240.  Phone - 573-7635-317""                                  ","CORN MO Centrali",-0.299047619047619,-0.298
"CORNMFAFYT-C1","CORN MOFYT SPOT ","0","2020-03-06","MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette ",-0.134090909090909,-0.05
"CORNMFAGLG-C1","CORN MOGLG SPOT ","0","2020-03-06","MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow ",-0.134090909090909,-0.05
"CORNMFAHAM-C1","CORN MOHAM SPOT ","0","2020-03-06","MFA             ","MFA                                                                             ","313 N. Davis St.                                                                ","Hamilton        ","Corn            ","""Hamilton, MO - 64644.  Phone - 816-5832-128""                                   ","CORN MO Hamilton",-0.164545454545455,-0.0666666666666667
"CORNMFAHGN-C1","CORN MOHGN SPOT ","0","2020-03-06","MFA             ","MFA                                                                             ","105 W 22nd St                                                                   ","Higginsville    ","Corn            ","""Higginsville, MO - 64037.  Phone - 660-5843-676""                               ","CORN MO Higginsv",-0.252272727272727,-0.0547619047619048
"CORNMFAKKS-C1","CORN MOKKS SPOT ","-0.22","2020-03-06","MFA             ","MFA                                                                             ","316 W  Potter Ave                                                               ","Kirksville      ","Corn            ","""Kirksville, MO - 63501.  Phone - 660-6654-695""                                 ","CORN MO Kirksvil",-0.386818181818182,-0.356190476190476
"CORNMFALAD-C1","CORN MOLAD SPOT ","-0.08","2020-03-06","MFA             ","MFA                                                                             ","506 E 1st St                                                                    ","Laddonia        ","Corn            ","""Laddonia, MO - 63352.  Phone - 573-3735-334""                                   ","CORN MO Laddonia",-0.347727272727273,-0.170952380952381
"CORNMFALEX-C1","CORN MOLEX SPOT ","0","2020-03-06","MFA             ","MFA                                                                             ","24th and Monroe Sts                                                             ","Lexington       ","Corn            ","""Lexington, MO - 64067.  Phone - 660-2592-261""                                  ","CORN MO Lexingto",-0.252272727272727,-0.0547619047619048
"CORNMFALMR-C1","CORN MOLMR SPOT ","0","2020-03-06","MFA             ","MFA                                                                             ","1801 KK Hwy                                                                     ","Lamar           ","Corn            ","""Lamar, MO - 64759.  Phone - 417-6825-593""                                      ","CORN MO Lamar   ",0.1,0
"CORNMFALNC-C1","CORN MOLNC SPOT ",NA,NA,"MFA             ","MFA                                                                             ","Hwy 63 N                                                                        ","Lancaster       ","Corn            ","""Lancaster, MO - 63548.  Phone - 660-4573-728""                                  ","CORN MO Lancaste",NA,NA
"CORNMFALRD-C1","CORN MOLRD SPOT ","-0.45","2020-03-06","MFA             ","MFA                                                                             ","410 E 2nd S                                                                     ","Laredo          ","Corn            ","""Laredo, MO - 64652.  Phone - 660-3592-297""                                     ","CORN MO Laredo  ",-0.438636363636364,-0.4
"CORNMFAMCN-C1","CORN MOMCN SPOT ","-0.21","2020-03-06","MFA             ","MFA                                                                             ","1805 A N Missouri St                                                            ","Macon           ","Corn            ","""Macon, MO - 63552.  Phone - 660-3855-753""                                      ","CORN MO Macon   ",-0.395454545454545,-0.286190476190476
"CORNMFAMEX-C1","CORN MOMEX SPOT ","-0.08","2020-03-06","MFA             ","MFA                                                                             ","2816 E Liberty                                                                  ","Mexico          ","Corn            ","""Mexico, MO - 65265.  Phone - 573-5816-868""                                     ","CORN MO Mexico  ",-0.343181818181818,-0.17
"CORNMFAMIA-C1","CORN MOMIA SPOT ","-0.45","2020-03-06","MFA             ","MFA                                                                             ","914 E 3rd St                                                                    ","Milan           ","Corn            ","""Milan, MO - 63556.  Phone - 660-2654-202""                                      ","CORN MO Milan   ",-0.454545454545455,-0.4
"CORNMFAMTM-C1","CORN MOMTM SPOT ","0","2020-03-06","MFA             ","MFA                                                                             ","226 N Walker St                                                                 ","Montgomery City ","Corn            ","""Montgomery City, MO - 63361.  Phone - 573-5642-241""                            ","CORN MO Montgome",-0.278181818181818,-0.0819047619047619
"CORNMFAMYL-C1","CORN MOMYL SPOT ","-0.24","2020-03-06","Consumers Oil   ","Consumers Oil                                                                   ","221 N Depot                                                                     ","Maryville       ","Corn            ","""Maryville, MO - 64468.  Phone - 660-5822-106""                                  ","CORN MO Maryvill",-0.44,-0.315
