"","Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location"
"235","CORNMFACTL-C1","CORN MOCTL SPOT ","-0.23","2020-02-19","MFA             ","MFA                                                                             ","108 Market St                                                                   ","Centralia       ","Corn            ","""Centralia, MO - 65240.  Phone - 573-7635-317""                                  ","CORN MO Centrali"
"248","CORNCRGCHO-C1","CORN MOCHO SPOT ","0.2","2020-02-19","Cargill         ","Cargill                                                                         ","758 State Highway N                                                             ","Charleston      ","Corn            ","""Charleston, MO - 63834.  Phone - 800-7422-789""                                 ","CORN MO Charlstn"
"261","CORNCGBCHO-C1","CORN MOCHO SPOT ","0.14","2020-02-19","Cnslidated Grain","Consolidated Grain and Barge                                                    ","6720 E Highway K                                                                ","Charleston      ","Corn            ","""Charleston, MO - 63834.  Phone - 573-6753-433""                                 ","CORN MO Charlstn"
"274","CORNWCACIL-C1","CORN MOCIL SPOT ","-0.1","2020-02-19","West Central Ag ","West Central Ag                                                                 ","209 E Barnum Ave                                                                ","Chilhowee       ","Corn            ","""Chilhowee, MO - 64733.  Phone - 816-2974-518""                                  ","CORN MO Chilhowe"
"287","CORNCHUCUA-C1","CORN MOCUA SPOT ","-0.4","2020-02-19","Chula Farmers   ","Chula Farmers                                                                   ","215 Manning Ave                                                                 ","Chula           ","Corn            ","""Chula, MO - 64635.  Phone - 660-6393-125""                                      ","CORN MO Chula   "
"300","CORNPSFCFE-C1","CORN MOCFE SPOT ","-0.15","2020-02-19","MB Grain        ","MB Grain                                                                        ","18115 State Hwy B                                                               ","Pattonsburg     ","Corn            ","""Pattonsburg, MO - 64670.  Phone - 660-7487-270""                                ","CORN MO Coffey  "
"313","CORNMFACNC-C1","CORN MOCNC SPOT ","0","2020-02-19","MFA             ","MFA                                                                             ","601 Main St                                                                     ","Concordia       ","Corn            ","""Concordia, MO - 64020.  Phone - 660-4630-888""                                  ","CORN MO Concordi"
"326","CORNCGICRA-C1","CORN MOCRA SPOT ","-0.22","2020-02-19","Craig Grain     ","Craig Grain                                                                     ","102 S Main St                                                                   ","Craig           ","Corn            ","""Craig, MO - 64437.  Phone - 660-6835-631""                                      ","CORN MO Craig   "
"339","CORNGTECRA-C1","CORN MOCRA SPOT ","-0.05","2020-02-19","Golden Triangle ","Golden Triangle Energy                                                          ","15053 Highway 111                                                               ","Craig           ","Corn            ","""Craig, MO - 64437.  Phone - 888-2205-646""                                      ","CORN MO Craig   "
"352","CORNTYSDEX-C1","CORN MODEX SPOT ","0.2","2019-10-04","Tyson Foods     ","Tyson Foods                                                                     ","12845 County Rd 717                                                             ","Dexter          ","Corn            ","""Dexter, MO - 63841.  Phone - 573-6243-154""                                     ","CORN MO Dexter  "
"365","CORNADMDUD-C1","CORN MODUD SPOT ",NA,NA,"ADM             ","ADM                                                                             ","7466 US Highway 60                                                              ","Dudley          ","Corn            ","""Dudley, MO - 63936.  Phone - 573-9673-662""                                     ","CORN MO Dudley  "
"378","CORNCGBEPR-C1","CORN MOEPR SPOT ","0.11","2020-02-19","Cnslidated Grain","Consolidated Grain and Barge                                                    ","20314 South Highway 77                                                          ","East Prairie    ","Corn            ","""East Prairie, MO - 63845.  Phone - 573-6493-014""                               ","CORN MO EastPrai"
"391","CORNCECFBR-C1","CORN MOFBR SPOT ","-0.02","2020-02-19","CE Grain Co     ","CE Grain Co                                                                     ","3880 Audrain Road 541                                                           ","Farber          ","Corn            ","""Farber, MO - 63345.  Phone - 573-2494-100""                                     ","CORN MO Farber  "
"404","CORNMFAFYT-C1","CORN MOFYT SPOT ","0","2020-02-19","MFA             ","MFA                                                                             ","111 Armstrong St                                                                ","Fayette         ","Corn            ","""Fayette, MO - 65248.  Phone - 660-2483-303""                                    ","CORN MO Fayette "
"417","CORNCRGFRC-C1","CORN MOFRC SPOT ","-0.2","2020-02-19","Cargill         ","Cargill                                                                         ","26949 Holt 290 Rd                                                               ","Forest City     ","Corn            ","""Forest City, MO - 64451.  Phone - 660-4463-311""                                ","CORN MO ForestCt"
"430","CORNHADGMC-C1","CORN MOGMC SPOT ",NA,NA,"Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","151 Broadway Ave                                                                ","Gilman City     ","Corn            ","""Gilman City, MO - 64642.  Phone - 660-8765-812""                                ","CORN MO GilmanCi"
"443","CORNMFAGLG-C1","CORN MOGLG SPOT ","0","2020-02-19","MFA             ","MFA                                                                             ","102 2nd St                                                                      ","Glasgow         ","Corn            ","""Glasgow, MO - 65254.  Phone - 660-3382-248""                                    ","CORN MO Glasgow "
"456","CORNLFEGOL-C1","CORN MOGOL SPOT ","0","2020-02-18","GoldenCity Grain","Golden City Grain & Cotton                                                      ","201 F Street                                                                    ","Golden City     ","Corn            ","""Golden City, MO - 64748.  Phone - 417-5374-214""                                ","CORN MO GoldenCi"
"469","CORNRCGHAR-C1","CORN MOHAR SPOT ","0","2020-02-19","RayCarrollGrain ","Ray Carroll Grain                                                               ","202 E Main                                                                      ","Hardin          ","Corn            ","""Hardin, MO - 64035.  Phone - 660-3984-388""                                     ","CORN MO Hardin  "
"482","CORNSLCHRL-C1","CORN MOHRL SPOT ","0.16","2020-02-19","Scoular Grain   ","Scoular Grain                                                                   ","1209 Industrial Blvd                                                            ","Harrisonville   ","Corn            ","""Harrisonville, MO - 64701.  Phone - 816-3807-153""                              ","CORN MO Harrison"
"495","CORNRAFHKP-C1","CORN MOHKP SPOT ","-0.31","2020-02-19","Rose Acre Farms ","Rose Acre Farms                                                                 ","520 Washington St                                                               ","Hawk Point      ","Corn            ","""Hawk Point, MO - 63349.  Phone - 636-3384-875""                                 ","CORN MO HawkPoin"
"508","CORNMFAHGN-C1","CORN MOHGN SPOT ","-0.01","2020-02-19","MFA             ","MFA                                                                             ","105 W 22nd St                                                                   ","Higginsville    ","Corn            ","""Higginsville, MO - 64037.  Phone - 660-5843-676""                               ","CORN MO Higginsv"
"521","CORNHMNHDN-C1","CORN MOHDN SPOT ","0.05","2020-02-19","Heiman Grain    ","Heiman Grain                                                                    ","201 S Vine St                                                                   ","Holden          ","Corn            ","""Holden, MO - 64040.  Phone - 816-7324-131""                                     ","CORN MO Holden  "
"534","CORNJSPJSP-C1","CORN MOJSP SPOT ","0.23","2020-02-19","Jasper Grain    ","Jasper Grain                                                                    ","308 W Morrison Ave                                                              ","Jasper          ","Corn            ","""Jasper, MO - 64755.  Phone - 417-3942-156""                                     ","CORN MO Jasper  "
"547","CORNCRGKNC-C1","CORN MOKNC SPOT ",NA,NA,"Cargill         ","Cargill                                                                         ","4801 NE Birmingham Rd                                                           ","Kansas City     ","Corn            ","""Kansas City, MO - 64117.  Phone - 816-4522-161""                                ","CORN MO Kansas  "
"560","CORNMFAKKS-C1","CORN MOKKS SPOT ","-0.32","2020-02-19","MFA             ","MFA                                                                             ","316 W  Potter Ave                                                               ","Kirksville      ","Corn            ","""Kirksville, MO - 63501.  Phone - 660-6654-695""                                 ","CORN MO Kirksvil"
"573","CORNRAFKBN-C1","CORN MOKBN SPOT ","0.04","2020-02-19","Rose Acre Farms ","Rose Acre Farms                                                                 ","1275 SE Y Hwy                                                                   ","Knob Noster     ","Corn            ","""Knob Noster, MO - 65336.  Phone - 660-5632-830""                                ","CORN MO KnobNost"
"586","CORNADMLAB-C1","CORN MOLAB SPOT ","-0.21","2020-02-19","ADM             ","ADM                                                                             ","210 N 7th St                                                                    ","La Belle        ","Corn            ","""La Belle, MO - 63447.  Phone - 800-5193-626""                                   ","CORN MO La Belle"
"599","CORNBNGLAG-C1","CORN MOLAG SPOT ","-0.09","2020-01-09","Bunge           ","Bunge                                                                           ","401 S Main St                                                                   ","La Grange       ","Corn            ","""La Grange, MO - 63448.  Phone - 573-6552-281""                                  ","CORN MO La Grang"
"612","CORNADMLAP-C1","CORN MOLAP SPOT ",NA,NA,"ADM             ","ADM                                                                             ","East Moore Street                                                               ","La Plata        ","Corn            ","""La Plata, MO - 63549.  Phone - 800-4734-517""                                   ","CORN MO La Plata"
"625","CORNADMLAL-C1","CORN MOLAL SPOT ",NA,NA,"StheasternGrain ","Southeastern Grain                                                              ","605 Front St                                                                    ","Laclede         ","Corn            ","""Laclede, MO - 64651.  Phone - 660-9632-227""                                    ","CORN MO Laclede "
"638","CORNADMLAD-C1","CORN MOLAD SPOT ",NA,NA,"ADM             ","ADM                                                                             ","601 1st St                                                                      ","Laddonia        ","Corn            ","""Laddonia, MO - 63352.  Phone - 573-3735-311""                                   ","CORN MO Laddonia"
"651","CORNMFALAD-C1","CORN MOLAD SPOT ","-0.12","2020-02-19","MFA             ","MFA                                                                             ","506 E 1st St                                                                    ","Laddonia        ","Corn            ","""Laddonia, MO - 63352.  Phone - 573-3735-334""                                   ","CORN MO Laddonia"
"664","CORNPTBLAD-C1","CORN MOLAD SPOT ","-0.02","2020-02-19","Poet Biorefining","Poet Biorefining                                                                ","809 North Pine                                                                  ","Laddonia        ","Corn            ","""Laddonia, MO - 63352.  Phone - 866-3852-729""                                   ","CORN MO Laddonia"
"677","CORNMFALMR-C1","CORN MOLMR SPOT ","-0.05","2020-02-19","MFA             ","MFA                                                                             ","1801 KK Hwy                                                                     ","Lamar           ","Corn            ","""Lamar, MO - 64759.  Phone - 417-6825-593""                                      ","CORN MO Lamar   "
"690","CORNMFALRD-C1","CORN MOLRD SPOT ","-0.4","2020-02-19","MFA             ","MFA                                                                             ","410 E 2nd S                                                                     ","Laredo          ","Corn            ","""Laredo, MO - 64652.  Phone - 660-3592-297""                                     ","CORN MO Laredo  "
"703","CORNMFALEX-C1","CORN MOLEX SPOT ","-0.01","2020-02-19","MFA             ","MFA                                                                             ","24th and Monroe Sts                                                             ","Lexington       ","Corn            ","""Lexington, MO - 64067.  Phone - 660-2592-261""                                  ","CORN MO Lexingto"
"716","CORNLFELKW-C1","CORN MOLKW SPOT ","0","2020-02-19","Lockwood Farmers","Lockwood Farmers Exchange                                                       ","107 W 6th St                                                                    ","Lockwood        ","Corn            ","""Lockwood, MO - 65682.  Phone - 417-2324-525""                                   ","CORN MO Lockwood"
"729","CORNBNGLOU-C1","CORN MOLOU SPOT ","-0.05","2020-02-19","Bunge           ","Bunge                                                                           ","Highway 79 S                                                                    ","Louisiana       ","Corn            ","""Louisiana, MO - 63353.  Phone - 800-3920-205""                                  ","CORN MO Louisian"
"742","CORNPSFLUC-C1","CORN MOLUC SPOT ","-0.04","2020-02-19","MB Grain        ","MB Grain                                                                        ","Hwy K and Hwy 136 East                                                          ","Lucerne         ","Corn            ","""Lucerne, MO - 64655. Phone - 660-793-3445""                                     ","CORN MO Lucerne "
"755","CORNADMMCN-C1","CORN MOMCN SPOT ","-0.02","2020-02-19","ADM             ","ADM                                                                             ","100 Front St                                                                    ","Macon           ","Corn            ","""Macon, IL - 62544.  Phone - 217-7643-345""                                      ","CORN MO Macon   "
"768","CORNMFAMCN-C1","CORN MOMCN SPOT ","-0.26","2020-02-19","MFA             ","MFA                                                                             ","1805 A N Missouri St                                                            ","Macon           ","Corn            ","""Macon, MO - 63552.  Phone - 660-3855-753""                                      ","CORN MO Macon   "
"781","CORNCAEMBN-C1","CORN MOMBN SPOT ","0","2020-02-19","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 66                                                                       ","Malta Bend      ","Corn            ","""Malta Bend, MO - 65339.  Phone - 660-5952-213""                                 ","CORN MO MaltaBen"
"794","CORNCAEMAR-C1","CORN MOMAR SPOT ","0","2020-02-19","C.Missouri AgriS","Central Missouri AgriService                                                    ","211 N Lyon                                                                      ","Marshall        ","Corn            ","""Marshall, MO - 65340.  Phone - 660-8866-976""                                   ","CORN MO Marshall"
"807","CORNADMMRT-C1","CORN MOMRT SPOT ","0.23","2020-02-19","ADM             ","ADM                                                                             ","734 New Madrid County Rd                                                        ","Marston         ","Corn            ","""Marston, MO - 63866.  Phone - 573-6430-055""                                    ","CORN MO Marston "
"820","CORNMFAMYL-C1","CORN MOMYL SPOT ","-0.23","2020-02-19","Consumers Oil   ","Consumers Oil                                                                   ","221 N Depot                                                                     ","Maryville       ","Corn            ","""Maryville, MO - 64468.  Phone - 660-5822-106""                                  ","CORN MO Maryvill"
"833","CORNBAAMEV-C1","CORN MOMEV SPOT ","-0.25","2020-02-19","Butterfield&Asso","Butterfield and Assoc Grain                                                     ","105 E John                                                                      ","Meadville       ","Corn            ","""Meadville, MO - 64659.  Phone - 660-9384-116""                                  ","CORN MO Meadvile"
"846","CORNMFAMEX-C1","CORN MOMEX SPOT ","-0.12","2020-02-19","MFA             ","MFA                                                                             ","2816 E Liberty                                                                  ","Mexico          ","Corn            ","""Mexico, MO - 65265.  Phone - 573-5816-868""                                     ","CORN MO Mexico  "
"859","CORNCAEMIM-C1","CORN MOMIM SPOT ","0","2020-02-19","C.Missouri AgriS","Central Missouri AgriService                                                    ","308 N Bluff                                                                     ","Miami           ","Corn            ","""Miami, MO - 65344.  Phone - 660-8523-381""                                      ","CORN MO Miami   "
"872","CORNMFAMIA-C1","CORN MOMIA SPOT ","-0.4","2020-02-19","MFA             ","MFA                                                                             ","914 E 3rd St                                                                    ","Milan           ","Corn            ","""Milan, MO - 63556.  Phone - 660-2654-202""                                      ","CORN MO Milan   "
"885","CORNMSFNTT-C1","CORN MONTT SPOT ","0.52","2020-02-19","MainStreetFeeds ","Main Street Feeds                                                               ","109 Main St                                                                     ","Monett          ","Corn            ","""Monett, MO - 65708.  Phone - 180-0299-6680""                                    ","CORN MO Monett  "
"898","CORNFREMOE-C1","CORN MOMOE SPOT ",NA,NA,"Farmers Elevator","Farmers Elevator                                                                ","107 S Vine St                                                                   ","Monroe City     ","Corn            ","""Monroe City, MO - 63456.  Phone - 573-7354-543""                                ","CORN MO MonroeCi"
"911","CORNHCLMOE-C1","CORN MOMOE SPOT ","-0.3","2020-02-19","Hassard Elevator","Hassard Elevator                                                                ","11523 Highway J                                                                 ","Monroe City     ","Corn            ","""Monroe City, MO - 63456.  Phone - 573-7352-952""                                ","CORN MO MonroeCi"
"924","CORNMFAMTM-C1","CORN MOMTM SPOT ","-0.02","2020-02-19","MFA             ","MFA                                                                             ","226 N Walker St                                                                 ","Montgomery City ","Corn            ","""Montgomery City, MO - 63361.  Phone - 573-5642-241""                            ","CORN MO Montgome"
"937","CORNBCTMRH-C1","CORN MOMRH SPOT ","0.15","2020-02-19","Buchheit Agri   ","Buchheit Agri                                                                   ","199 W Front St                                                                  ","Morehouse       ","Corn            ","""Morehouse, MO - 63838.  Phone - 573-6679-921""                                  ","CORN MO Morehous"
"950","CORNBALNEL-C1","CORN MONEL SPOT ","-0.21","2020-02-19","Baltz Feed Co   ","Baltz Feed Co                                                                   ","424 Hart St                                                                     ","Neelyville      ","Corn            ","""Neelyville, MO - 63954.  Phone - 573-9893-250""                                 ","CORN MO Neelyvil"
"963","CORNCRGNMD-C1","CORN MONMD SPOT ","0.23","2020-02-19","Cargill         ","Cargill                                                                         ","300 Levee Rd                                                                    ","New Madrid      ","Corn            ","""New Madrid, MO - 63869.  Phone - 800-5292-755""                                 ","CORN MO NewMdrid"
"976","CORNFWLNTN-C1","CORN MONTN SPOT ",NA,NA,"Fowler Elevator ","Fowler Elevator                                                                 ","PO Box 147                                                                      ","Newtown         ","Corn            ","""Newtown, MO - 64667.  Phone - 660-7495-215""                                    ","CORN MO Newtown "
"989","CORNRCGNRB-C1","CORN MONRB SPOT ","0","2020-02-19","RayCarrollGrain ","Ray Carroll Grain                                                               ","101 S Cherry St                                                                 ","Norborne        ","Corn            ","""Norborne, MO - 64668.  Phone - 660-5933-326""                                   ","CORN MO Norborne"
"1002","CORNADMNOV-C1","CORN MONOV SPOT ","-0.21","2020-02-19","ADM             ","ADM                                                                             ","-                                                                               ","Novelty         ","Corn            ","""Novelty, MO - 63460.  Phone - 800-6783-323""                                    ","CORN MO Novelty "
"1015","CORNMFAODS-C1","CORN MOODS SPOT ","-0.01","2020-02-19","MFA             ","MFA                                                                             ","111 NW RailRoad St                                                              ","Odessa          ","Corn            ","""Odessa, MO - 64076.  Phone - 816-6335-591""                                     ","CORN MO Odessa  "
"1028","CORNOFSORK-C1","CORN MOORK SPOT ","-0.01","2020-02-19","OrrickFarmServ  ","Orrick Farm Service                                                             ","208 E N Front St                                                                ","Orrick          ","Corn            ","""Orrick, MO - 64077.  Phone - 816-4963-322""                                     ","CORN MO Orrick  "
"1041","CORNPGVPLG-C1","CORN MOPLG SPOT ","0","2020-02-19","Pilot Grove Coop","Pilot Grove Coop                                                                ","12302 Highway 135                                                               ","Pilot Grove     ","Corn            ","""Pilot Grove, MO - 65276.  Phone - 660-8345-412""                                ","CORN MO PilotGro"
"1054","CORNBNGPOP-C1","CORN MOPOP SPOT ",NA,NA,"Bunge           ","Bunge                                                                           ","3090 Highway B                                                                  ","Poplar Bluff    ","Corn            ","""Poplar Bluff, MO - 63901.  Phone - 573-6862-432""                               ","CORN MO PoplarBl"
"1067","CORNPHCPHM-C1","CORN MOPHM SPOT ","0","2020-02-19","PrairieHomeCoop ","Prairie Home Coop                                                               ","9238 Highway 87                                                                 ","Prairie Home    ","Corn            ","""Prairie Home, MO - 65068.  Phone - 660-8415-276""                               ","CORN MO PrairieH"
"1080","CORNBNGPOR-C1","CORN MOPOR SPOT ","0.24","2020-02-19","Bunge           ","Bunge                                                                           ","613 County Hwy 434                                                              ","Portageville    ","Corn            ","""Portageville, MO - 63873.  Phone - 573-3795-405""                               ","CORN MO Prtagvil"
"1093","CORNADMSTL-C1","CORN MOSTL SPOT ","0.25","2020-02-19","ADM             ","ADM                                                                             ","1 East Grand Ave                                                                ","Saint Louis     ","Corn            ","""Saint Louis, MO - 63101.  Phone - 800-3250-990""                                ","CORN MO Saint Lo"
"1106","CORNCHSSTL-C1","CORN MOSTL SPOT ",NA,NA,"CHS             ","CHS                                                                             ","1840 N Wharf St                                                                 ","Saint Louis     ","Corn            ","""Saint Louis, MO - 63102.  Phone - 800-5489-730""                                ","CORN MO Saint Ls"
"1119","CORNMFASBU-C1","CORN MOSBU SPOT ","0","2020-02-19","MFA             ","MFA                                                                             ","304 W Front St                                                                  ","Salisbury       ","Corn            ","""Salisbury, MO - 65281.  Phone - 660-3886-421""                                  ","CORN MO Salisbur"
"1132","CORNMGBSCT-C1","CORN MOSCT SPOT ","0.05","2020-02-19","Midwest Grain   ","Midwest Grain and Barge                                                         ","179 Rushing Rd                                                                  ","Scott City      ","Corn            ","""Scott City, MO - 63780.  Phone - 573-6510-988""                                 ","CORN MO ScottCit"
"1145","CORNTYSSDA-C1","CORN MOSDA SPOT ","0.04","2019-10-04","Tyson Foods     ","Tyson Foods                                                                     ","19571 Whitfield Rd                                                              ","Sedalia         ","Corn            ","""Sedalia, MO - 65301.  Phone - 660-8269-991""                                    ","CORN MO Sedalia "
"1158","CORNADMSHE-C1","CORN MOSHE SPOT ","-0.26","2020-02-19","ADM             ","ADM                                                                             ","308 E Chestnut St                                                               ","Shelbina        ","Corn            ","""Shelbina, MO - 63468.  Phone - 573-5887-629""                                   ","CORN MO Shelbina"
"1171","CORNCRGSIK-C1","CORN MOSIK SPOT ",NA,NA,"Cargill         ","Cargill                                                                         ","410 W Malone Ave                                                                ","Sikeston        ","Corn            ","""Sikeston, MO - 63801.  Phone - 573-4722-272""                                   ","CORN MO Sikeston"
"1184","CORNCAESLT-C1","CORN MOSLT SPOT ","0","2020-02-19","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 188                                                                      ","Slater          ","Corn            ","""Slater, MO - 65349.  Phone - 660-5293-359""                                     ","CORN MO Slater  "
"1197","CORNRCGSLT-C1","CORN MOSLT SPOT ","0","2020-02-19","RayCarrollGrain ","Ray Carroll Grain                                                               ","Route 2 Box 4A                                                                  ","Slater          ","Corn            ","""Slater, MO - 65349.  Phone - 660-5292-676""                                     ","CORN MO Slater  "
"1210","CORNCRPSIH-C1","CORN MOSIH SPOT ","0.22","2020-02-19","JBS United      ","JBS United                                                                      ","106 E Washington St                                                             ","Smithton        ","Corn            ","""Smithton, MO - 65350.  Phone - 660-3435-319""                                   ","CORN MO Smithton"
"1223","CORNMSFSPF-C1","CORN MOSPF SPOT ","0.52","2020-02-19","MainStreetFeeds ","Main Street Feeds                                                               ","8270 W State Hwy 266                                                            ","Springfield     ","Corn            ","""Springfield, MO - 65802.  Phone - 180-0749-5674""                               ","CORN MO Springfi"
"1236","CORNLFDSTJ-C1","CORN MOSTJ SPOT ","0.04","2020-02-19","Lifeline Foods  ","Lifeline Foods                                                                  ","2811 S 11                                                                       ","St Joseph       ","Corn            ","""St Joseph, MO - 64503.  Phone - 816-2791-651""                                  ","CORN MO StJoseph"
"1249","CORNBRGSTJ-C1","CORN MOSTJ SPOT ","-0.06","2020-02-19","Bartlett Grain  ","Bartlett Grain                                                                  ","1005 E Lake Blvd                                                                ","St Joseph       ","Corn            ","""St Joseph, MO - 64501.  Phone - 816-2384-561""                                  ","CORN MO StJoseph"
"1262","CORNRCGSMN-C1","CORN MOSMN SPOT ","-0.05","2020-02-19","RayCarrollGrain ","Ray Carroll Grain                                                               ","317 Centre St                                                                   ","Sumner          ","Corn            ","""Sumner, MO - 64681.  Phone - 660-8563-535""                                     ","CORN MO Sumner  "
"1275","CORNMFASTS-C1","CORN MOSTS SPOT ","0","2020-02-19","MFA             ","MFA                                                                             ","125 Lexington Ave                                                               ","Sweet Springs   ","Corn            ","""Sweet Springs, MO - 65351.  Phone - 660-3356-355""                              ","CORN MO SweetSpr"
"1288","CORNAPCTAR-C1","CORN MOTAR SPOT ","-0.22","2020-02-19","Ag Partners Coop","Ag Partners Coop                                                                ","302 Park St                                                                     ","Tarkio          ","Corn            ","""Tarkio, MO - 64491.  Phone - 660-7364-145""                                     ","CORN MO Tarkio  "
"1301","CORNHADTNT-C1","CORN MOTNT SPOT ","-0.35","2020-02-19","Gage Fertilizer ","Gage Fertilizer and Grain                                                       ","915 Shanklin St                                                                 ","Trenton         ","Corn            ","""Trenton, MO - 64683.  Phone - 660-3592-258""                                    ","CORN MO Trenton "
"1314","CORNMFATNT-C1","CORN MOTNT SPOT ","-0.4","2020-02-19","MFA             ","MFA                                                                             ","3031 Pleasant Pln                                                               ","Trenton         ","Corn            ","""Trenton, MO - 64683.  Phone - 660-3592-297""                                    ","CORN MO Trenton "
"1327","CORNFWLUNV-C1","CORN MOUNV SPOT ",NA,NA,"Fowler Elevator ","Fowler Elevator                                                                 ","28597 US Highway 136                                                            ","Unionville      ","Corn            ","""Unionville, MO - 63565.  Phone - 660-9472-488""                                 ","CORN MO Unionvil"
"1340","CORNMFAVND-C1","CORN MOVND SPOT ","-0.12","2020-02-19","MFA             ","MFA                                                                             ","411 W State St                                                                  ","Vandalia        ","Corn            ","""Vandalia, MO - 63382.  Phone - 573-5946-415""                                   ","CORN MO Vandalia"
