Instrument,CF_NAME,CF_BID,CF_DATE,GEN_TEXT16,ROW80_1,ROW80_2,GN_TXT16_2,GN_TXT16_4,ROW80_3,Location
SOYBADMBIN-C1,SOYB MOBIN SPOT ,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-G,SOYB MOBIN FEB20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-H,SOYB MOBIN MAR20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-J,SOYB MOBIN APR20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-K,SOYB MOBIN MAY20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-M,SOYB MOBIN JUN20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-N,SOYB MOBIN JUL20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-Q,SOYB MOBIN AUG20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-U,SOYB MOBIN SEP20,NA,NA,ADM             ,ADM                                                                             ,"Baring, MO - 63531                                                              ",Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-V,SOYB MOBIN OCT20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-X,SOYB MOBIN NOV20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531. Phone - 660-8924-411""                                      ",SOYB MO Baring  
SOYBADMBIN-Z,SOYB MOBIN DEC20,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBADMBIN-F,SOYB MOBIN JAN21,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBGFGBTH-C1,SOYB MOBTH SPOT ,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-G,SOYB MOBTH FEB20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-H,SOYB MOBTH MAR20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-J,SOYB MOBTH APR20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"""Bethany, MO - 64424""                                                           ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-K,SOYB MOBTH MAY20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"""Bethany, MO - 64424""                                                           ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-M,SOYB MOBTH JUN20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-N,SOYB MOBTH JUL20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-Q,SOYB MOBTH AUG20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-U,SOYB MOBTH SEP20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"""Bethany, MO - 64424""                                                           ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-V,SOYB MOBTH OCT20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-X,SOYB MOBTH NOV20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-Z,SOYB MOBTH DEC20,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBGFGBTH-F,SOYB MOBTH JAN21,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBCAEBCB-C1,SOYB MOBCB SPOT ,-0.25,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-G,SOYB MOBCB FEB20,-0.25,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-H,SOYB MOBCB MAR20,-0.35,11/25/2019,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-J,SOYB MOBCB APR20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-K,SOYB MOBCB MAY20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-M,SOYB MOBCB JUN20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-N,SOYB MOBCB JUL20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-Q,SOYB MOBCB AUG20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-U,SOYB MOBCB SEP20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-V,SOYB MOBCB OCT20,-0.7,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,"Blackburn, MO - 65321                                                           ",Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-X,SOYB MOBCB NOV20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-Z,SOYB MOBCB DEC20,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBCAEBCB-F,SOYB MOBCB JAN21,NA,NA,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBMFABOO-C1,SOYB MOBOO SPOT ,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-G,SOYB MOBOO FEB20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-H,SOYB MOBOO MAR20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-J,SOYB MOBOO APR20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-K,SOYB MOBOO MAY20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-M,SOYB MOBOO JUN20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-N,SOYB MOBOO JUL20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-Q,SOYB MOBOO AUG20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-U,SOYB MOBOO SEP20,NA,NA,MFA             ,MFA                                                                             ,"Boonville, MO - 65233                                                           ",Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-V,SOYB MOBOO OCT20,-0.35,2/10/2020,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-X,SOYB MOBOO NOV20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-Z,SOYB MOBOO DEC20,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBMFABOO-F,SOYB MOBOO JAN21,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBCNMBYM-C1,SOYB MOBYM SPOT ,-0.29,2/27/2020,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-G,SOYB MOBYM FEB20,-0.29,2/27/2020,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-H,SOYB MOBYM MAR20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-J,SOYB MOBYM APR20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-K,SOYB MOBYM MAY20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-M,SOYB MOBYM JUN20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-N,SOYB MOBYM JUL20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-Q,SOYB MOBYM AUG20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-U,SOYB MOBYM SEP20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-V,SOYB MOBYM OCT20,NA,NA,Consumers       ,Consumers                                                                       ,"Braymer, MO - 64624                                                             ",Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-X,SOYB MOBYM NOV20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-Z,SOYB MOBYM DEC20,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBCNMBYM-F,SOYB MOBYM JAN21,NA,NA,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBMFABWI-C1,SOYB MOBWI SPOT ,-0.55,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-G,SOYB MOBWI FEB20,-0.55,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-H,SOYB MOBWI MAR20,-0.55,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-J,SOYB MOBWI APR20,-0.65,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-K,SOYB MOBWI MAY20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-M,SOYB MOBWI JUN20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-N,SOYB MOBWI JUL20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-Q,SOYB MOBWI AUG20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-U,SOYB MOBWI SEP20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-V,SOYB MOBWI OCT20,-0.75,2/27/2020,MFA             ,MFA                                                                             ,"Browning, MO - 64630                                                            ",Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-X,SOYB MOBWI NOV20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-Z,SOYB MOBWI DEC20,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBMFABWI-F,SOYB MOBWI JAN21,NA,NA,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBRCGBRU-C1,SOYB MOBRU SPOT ,-0.25,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Soybeans        ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",SOYB MO Brunswic
SOYBRCGBRU-G,SOYB MOBRU FEB20,-0.25,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Soybeans        ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",SOYB MO Brunswic
SOYBRCGBRU-H,SOYB MOBRU MAR20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Soybeans        ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",SOYB MO Brunswic
SOYBRCGBRU-J,SOYB MOBRU APR20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Soybeans        ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",SOYB MO Brunswic
SOYBRCGBRU-K,SOYB MOBRU MAY20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Soybeans        ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",SOYB MO Brunswic
SOYBRCGBRU-M,SOYB MOBRU JUN20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Soybeans        ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",SOYB MO Brunswic
SOYBRCGBRU-N,SOYB MOBRU JUL20,NA,NA,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Soybeans        ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",SOYB MO Brunswic
